n_taus = 30
n_waves = 116
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0800     0.2194   -1.58566  -0.06588  -0.05295    0.1219    1.0384
    0.0900     0.1881   -1.63060  -0.05760  -0.04615    0.1063    1.0336
    0.1013     0.1682   -1.60435  -0.05098  -0.03900    0.0898    1.0327
    0.1139     0.1459   -1.62003  -0.04478  -0.03338    0.0769    1.0319
    0.1282     0.1333   -1.63916  -0.04152  -0.03068    0.0707    1.0296
    0.1443     0.1242   -1.63774  -0.03869  -0.02789    0.0642    1.0256
    0.1623     0.1115   -1.60996  -0.03521  -0.02380    0.0548    1.0303
    0.1826     0.1109   -1.58157  -0.03462  -0.02247    0.0517    1.0320
    0.2055     0.1266   -1.56925  -0.03904  -0.02641    0.0608    1.0339
    0.2312     0.1133   -1.61122  -0.03503  -0.02366    0.0545    1.0294
    0.2601     0.0980   -1.64968  -0.03051  -0.02020    0.0465    1.0250
    0.2927     0.0904   -1.69935  -0.02823  -0.01906    0.0439    1.0251
    0.3293     0.0829   -1.73933  -0.02583  -0.01751    0.0403    1.0219
    0.3705     0.0750   -1.77867  -0.02389  -0.01632    0.0376    1.0180
    0.4169     0.0673   -1.82894  -0.02122  -0.01451    0.0334    1.0180
    0.4691     0.0598   -1.85687  -0.01899  -0.01273    0.0293    1.0153
    0.5278     0.0524   -1.92301  -0.01649  -0.01113    0.0256    1.0156
    0.5939     0.0453   -1.97028  -0.01447  -0.00969    0.0223    1.0124
    0.6682     0.0390   -2.03266  -0.01244  -0.00831    0.0191    1.0111
    0.7518     0.0333   -2.10008  -0.01065  -0.00713    0.0164    1.0104
    0.8459     0.0280   -2.16853  -0.00895  -0.00595    0.0137    1.0064
    0.9518     0.0235   -2.25148  -0.00748  -0.00501    0.0115    1.0064
    1.0710     0.0196   -2.33271  -0.00637  -0.00433    0.0100    1.0038
    1.2050     0.0163   -2.43715  -0.00518  -0.00358    0.0082    1.0036
    1.3560     0.0135   -2.52979  -0.00432  -0.00302    0.0070    1.0037
    1.5250     0.0112   -2.62894  -0.00355  -0.00252    0.0058    1.0022
    1.7160     0.0092   -2.71861  -0.00298  -0.00214    0.0049    1.0021
    1.9310     0.0076   -2.83689  -0.00246  -0.00182    0.0042    1.0015
    2.1730     0.0063   -2.94142  -0.00205  -0.00155    0.0036    1.0012
    2.4450     0.0052   -3.05467  -0.00168  -0.00130    0.0030    1.0010
    2.7510     0.0043   -3.17866  -0.00139  -0.00110    0.0025    1.0012
    3.0950     0.0036   -3.30772  -0.00115  -0.00093    0.0021    1.0007
    3.2500     0.0033   -3.35110  -0.00108  -0.00089    0.0020    1.0006
    3.2670     0.0033   -3.35922  -0.00106  -0.00087    0.0020    1.0005
    3.2830     0.0033   -3.35801  -0.00107  -0.00087    0.0020    1.0007
    3.3000     0.0033   -3.36812  -0.00105  -0.00087    0.0020    1.0007
    3.3160     0.0032   -3.37953  -0.00103  -0.00085    0.0020    1.0006
    3.3330     0.0032   -3.38284  -0.00103  -0.00085    0.0019    1.0006
