n_taus = 30
n_waves = 116
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0800     0.2194   -1.57546  -0.06740  -0.05413    0.1246    1.0339
    0.0900     0.1881   -1.61084  -0.05831  -0.04631    0.1066    1.0304
    0.1013     0.1682   -1.59880  -0.05186  -0.03971    0.0914    1.0279
    0.1139     0.1459   -1.61103  -0.04571  -0.03405    0.0784    1.0263
    0.1282     0.1333   -1.62313  -0.04223  -0.03098    0.0713    1.0259
    0.1443     0.1242   -1.62507  -0.03940  -0.02827    0.0651    1.0234
    0.1623     0.1115   -1.60703  -0.03557  -0.02407    0.0554    1.0272
    0.1826     0.1109   -1.57164  -0.03491  -0.02247    0.0517    1.0259
    0.2055     0.1266   -1.55930  -0.03993  -0.02699    0.0621    1.0306
    0.2312     0.1133   -1.60003  -0.03522  -0.02355    0.0542    1.0246
    0.2601     0.0980   -1.64439  -0.03082  -0.02037    0.0469    1.0227
    0.2927     0.0904   -1.68979  -0.02852  -0.01915    0.0441    1.0187
    0.3293     0.0829   -1.73499  -0.02635  -0.01794    0.0413    1.0190
    0.3705     0.0750   -1.77748  -0.02402  -0.01643    0.0378    1.0194
    0.4169     0.0673   -1.81530  -0.02163  -0.01470    0.0338    1.0164
    0.4691     0.0598   -1.85431  -0.01914  -0.01284    0.0296    1.0137
    0.5278     0.0524   -1.91791  -0.01656  -0.01115    0.0257    1.0133
    0.5939     0.0453   -1.97336  -0.01454  -0.00980    0.0226    1.0127
    0.6682     0.0390   -2.02865  -0.01259  -0.00843    0.0194    1.0113
    0.7518     0.0333   -2.10177  -0.01073  -0.00722    0.0166    1.0099
    0.8459     0.0280   -2.17567  -0.00894  -0.00599    0.0138    1.0068
    0.9518     0.0235   -2.25761  -0.00756  -0.00513    0.0118    1.0062
    1.0710     0.0196   -2.33718  -0.00630  -0.00428    0.0099    1.0034
    1.2050     0.0163   -2.43499  -0.00524  -0.00363    0.0084    1.0027
    1.3560     0.0135   -2.52320  -0.00432  -0.00301    0.0069    1.0033
    1.5250     0.0112   -2.62172  -0.00362  -0.00258    0.0059    1.0026
    1.7160     0.0092   -2.72294  -0.00301  -0.00218    0.0050    1.0016
    1.9310     0.0076   -2.83607  -0.00247  -0.00184    0.0042    1.0021
    2.1730     0.0063   -2.94461  -0.00205  -0.00155    0.0036    1.0014
    2.4450     0.0052   -3.05739  -0.00169  -0.00130    0.0030    1.0012
    2.7510     0.0043   -3.18065  -0.00139  -0.00111    0.0025    1.0009
    3.0950     0.0036   -3.29998  -0.00116  -0.00094    0.0022    1.0008
    3.2500     0.0033   -3.35040  -0.00109  -0.00090    0.0021    1.0007
    3.2670     0.0033   -3.35048  -0.00108  -0.00088    0.0020    1.0006
    3.2830     0.0033   -3.35642  -0.00108  -0.00089    0.0020    1.0003
    3.3000     0.0033   -3.35752  -0.00108  -0.00088    0.0020    1.0005
    3.3160     0.0032   -3.37798  -0.00103  -0.00085    0.0020    1.0003
    3.3330     0.0032   -3.37538  -0.00104  -0.00086    0.0020    1.0002
    3.3490     0.0032   -3.38735  -0.00102  -0.00084    0.0019    1.0003
    3.4820     0.0030   -3.42538  -0.00098  -0.00081    0.0019    1.0003
    3.9180     0.0025   -3.55597  -0.00081  -0.00069    0.0016    1.0004
    4.4080     0.0020   -3.70481  -0.00066  -0.00058    0.0013    1.0002
    4.9600     0.0017   -3.84136  -0.00056  -0.00050    0.0012    1.0002
    5.5810     0.0014   -4.00767  -0.00047  -0.00042    0.0010    1.0001
    5.9900     0.0014   -4.09417  -0.00045  -0.00041    0.0009    1.0001
    6.0600     0.0014   -4.11804  -0.00044  -0.00040    0.0009    1.0001
    6.1300     0.0013   -4.13196  -0.00044  -0.00040    0.0009    1.0001
    6.2000     0.0013   -4.15025  -0.00043  -0.00040    0.0009    1.0001
    6.2700     0.0013   -4.16492  -0.00043  -0.00040    0.0009    1.0001
    6.2790     0.0013   -4.17409  -0.00042  -0.00040    0.0009    1.0001
    6.3400     0.0013   -4.17864  -0.00043  -0.00040    0.0009    1.0001
    6.4100     0.0013   -4.19467  -0.00042  -0.00039    0.0009    1.0001
    6.8780     0.0012   -4.29434  -0.00039  -0.00037    0.0008    1.0000
    7.0650     0.0011   -4.34082  -0.00037  -0.00035    0.0008    1.0001
    7.1520     0.0012   -4.34946  -0.00038  -0.00036    0.0008    1.0001
    7.4260     0.0012   -4.39391  -0.00040  -0.00038    0.0009    1.0000
    7.7000     0.0013   -4.44919  -0.00043  -0.00041    0.0009    1.0000
    7.9490     0.0014   -4.51109  -0.00046  -0.00044    0.0010    1.0000
    7.9740     0.0014   -4.51057  -0.00046  -0.00045    0.0010    1.0000
    8.1290     0.0016   -4.50291  -0.00052  -0.00050    0.0012    1.0000
    8.2480     0.0018   -4.49957  -0.00057  -0.00056    0.0013    1.0000
    8.2860     0.0018   -4.50053  -0.00058  -0.00057    0.0013    1.0000
    8.4430     0.0020   -4.51088  -0.00065  -0.00063    0.0015    1.0001
    8.5220     0.0021   -4.51584  -0.00068  -0.00067    0.0015    1.0000
    8.6000     0.0022   -4.53671  -0.00070  -0.00069    0.0016    1.0000
    8.7570     0.0024   -4.56856  -0.00077  -0.00076    0.0017    1.0000
    8.9140     0.0026   -4.61780  -0.00084  -0.00083    0.0019    1.0000
    8.9440     0.0026   -4.63551  -0.00085  -0.00084    0.0019    1.0000
    9.0710     0.0026   -4.64562  -0.00085  -0.00084    0.0019    1.0000
   10.0600     0.0028   -4.72685  -0.00090  -0.00089    0.0020    1.0000
   10.9500     0.0021   -4.83399  -0.00069  -0.00068    0.0016    1.0000
   11.0700     0.0020   -4.85328  -0.00066  -0.00065    0.0015    1.0000
   11.1900     0.0019   -4.87829  -0.00062  -0.00062    0.0014    1.0000
   11.3000     0.0018   -4.89268  -0.00060  -0.00059    0.0014    1.0000
   11.3200     0.0018   -4.89897  -0.00059  -0.00059    0.0013    1.0000
   11.4100     0.0018   -4.91115  -0.00058  -0.00057    0.0013    1.0000
   11.5300     0.0017   -4.92786  -0.00056  -0.00055    0.0013    1.0000
   11.6500     0.0017   -4.94195  -0.00054  -0.00053    0.0012    1.0000
   12.7400     0.0012   -5.11665  -0.00037  -0.00037    0.0009    1.0000
   14.3400     0.0008   -5.36095  -0.00027  -0.00027    0.0006    1.0000
   16.1300     0.0010   -5.56850  -0.00032  -0.00032    0.0007    1.0000
   18.1500     0.0011   -5.74194  -0.00036  -0.00036    0.0008    1.0000
   20.4200     0.0009   -5.91618  -0.00030  -0.00030    0.0007    1.0000
   22.9700     0.0007   -6.11129  -0.00024  -0.00024    0.0005    1.0000
   25.8500     0.0006   -6.33195  -0.00018  -0.00018    0.0004    1.0000
   29.0800     0.0004   -6.53348  -0.00015  -0.00015    0.0003    1.0000
   32.7200     0.0004   -6.75342  -0.00011  -0.00011    0.0003    1.0000
   36.8200     0.0003   -6.95650  -0.00009  -0.00009    0.0002    1.0000
   41.4300     0.0002   -7.17054  -0.00007  -0.00007    0.0002    1.0000
   46.6100     0.0002   -7.37187  -0.00006  -0.00006    0.0001    1.0000
   52.4500     0.0001   -7.58072  -0.00005  -0.00005    0.0001    1.0000
   59.0100     0.0001   -7.77806  -0.00004  -0.00004    0.0001    1.0000
   66.3900     0.0001   -7.98528  -0.00003  -0.00003    0.0001    1.0000
   74.7100     0.0001   -8.18301  -0.00002  -0.00002    0.0001    1.0000
   84.0500     0.0001   -8.38726  -0.00002  -0.00002    0.0000    1.0000
   94.5700     0.0000   -8.58889  -0.00002  -0.00002    0.0000    1.0000
  106.4000     0.0000   -8.79747  -0.00001  -0.00001    0.0000    1.0000
  119.7000     0.0000   -9.00071  -0.00001  -0.00001    0.0000    1.0000
  134.7000     0.0000   -9.19777  -0.00001  -0.00001    0.0000    1.0000
  151.6000     0.0000   -9.40229  -0.00001  -0.00001    0.0000    1.0000
  170.5000     0.0000   -9.60932  -0.00001  -0.00001    0.0000    1.0000
  191.9000     0.0000   -9.81734  -0.00000  -0.00000    0.0000    1.0000
  215.9000     0.0000  -10.01151  -0.00000  -0.00000    0.0000    1.0000
