n_taus = 30
n_waves = 116
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0800     0.5375   -1.57748  -0.08433  -0.07060    0.1626    1.0623
    0.0900     0.4790   -1.64671  -0.07556  -0.06406    0.1475    1.0585
    0.1013     0.4173   -1.61311  -0.06735  -0.05516    0.1270    1.0536
    0.1139     0.3345   -1.62758  -0.05463  -0.04317    0.0994    1.0452
    0.1282     0.2815   -1.62480  -0.04698  -0.03565    0.0821    1.0472
    0.1443     0.2397   -1.62757  -0.04138  -0.03026    0.0697    1.0445
    0.1623     0.1942   -1.52798  -0.03430  -0.02058    0.0474    1.0551
    0.1826     0.1720   -1.42329  -0.03093  -0.01368    0.0315    1.0672
    0.2055     0.1512   -1.42705  -0.02663  -0.00969    0.0223    1.0546
    0.2312     0.1307   -1.50780  -0.02337  -0.00936    0.0216    1.0476
    0.2601     0.1156   -1.58668  -0.02131  -0.00966    0.0222    1.0434
    0.2927     0.1023   -1.67752  -0.01867  -0.00925    0.0213    1.0302
    0.3293     0.0903   -1.75243  -0.01623  -0.00833    0.0192    1.0295
    0.3705     0.0795   -1.80588  -0.01447  -0.00751    0.0173    1.0245
    0.4169     0.0698   -1.88416  -0.01293  -0.00713    0.0164    1.0197
    0.4691     0.0609   -1.93236  -0.01127  -0.00609    0.0140    1.0201
    0.5278     0.0526   -2.00670  -0.00961  -0.00526    0.0121    1.0174
    0.5939     0.0449   -2.07811  -0.00825  -0.00457    0.0105    1.0103
    0.6682     0.0380   -2.15728  -0.00708  -0.00402    0.0093    1.0134
    0.7518     0.0319   -2.25523  -0.00589  -0.00345    0.0079    1.0079
    0.8459     0.0265   -2.34481  -0.00487  -0.00289    0.0066    1.0081
    0.9518     0.0218   -2.43021  -0.00411  -0.00248    0.0057    1.0052
    1.0710     0.0180   -2.50480  -0.00337  -0.00200    0.0046    1.0063
    1.2050     0.0148   -2.63020  -0.00281  -0.00179    0.0041    1.0031
    1.3560     0.0121   -2.72546  -0.00224  -0.00142    0.0033    1.0022
    1.5250     0.0100   -2.83303  -0.00188  -0.00124    0.0029    1.0019
    1.7160     0.0082   -2.96031  -0.00150  -0.00103    0.0024    1.0017
    1.9310     0.0068   -3.08234  -0.00123  -0.00087    0.0020    1.0014
    2.1730     0.0056   -3.19448  -0.00103  -0.00075    0.0017    1.0009
    2.4450     0.0047   -3.30436  -0.00087  -0.00066    0.0015    1.0012
    2.7510     0.0039   -3.42190  -0.00075  -0.00058    0.0013    1.0009
    3.0950     0.0033   -3.55136  -0.00062  -0.00050    0.0012    1.0001
    3.2500     0.0031   -3.60908  -0.00059  -0.00048    0.0011    1.0005
    3.2670     0.0030   -3.62784  -0.00056  -0.00046    0.0011    1.0003
    3.2830     0.0030   -3.62464  -0.00058  -0.00047    0.0011    1.0004
    3.3000     0.0030   -3.64275  -0.00056  -0.00046    0.0011    1.0004
    3.3160     0.0030   -3.63585  -0.00056  -0.00046    0.0011    1.0003
    3.3330     0.0030   -3.64474  -0.00056  -0.00046    0.0011    1.0004
    3.3490     0.0029   -3.64725  -0.00056  -0.00046    0.0011    1.0003
    3.4820     0.0028   -3.69228  -0.00053  -0.00044    0.0010    1.0003
    3.9180     0.0023   -3.83663  -0.00044  -0.00038    0.0009    1.0005
    4.4080     0.0020   -3.97216  -0.00038  -0.00033    0.0008    1.0002
    4.9600     0.0017   -4.11795  -0.00033  -0.00029    0.0007    1.0001
    5.5810     0.0015   -4.27114  -0.00028  -0.00026    0.0006    1.0001
