n_taus = 41
n_waves = 25
tau_V = 0.010
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.0423   -2.26004  -0.00557  -0.00316    0.0073    1.0154
    0.1143     0.0379   -2.30718  -0.00500  -0.00284    0.0065    1.0108
    0.1286     0.0362   -2.32535  -0.00476  -0.00269    0.0062    1.0099
    0.1429     0.0328   -2.31991  -0.00438  -0.00229    0.0053    1.0102
    0.1571     0.0297   -2.37702  -0.00398  -0.00215    0.0049    1.0076
    0.1714     0.0274   -2.42604  -0.00366  -0.00202    0.0047    1.0077
    0.1857     0.0266   -2.42531  -0.00352  -0.00188    0.0043    1.0095
    0.2000     0.0273   -2.46472  -0.00363  -0.00213    0.0049    1.0084
    0.2143     0.0275   -2.47014  -0.00362  -0.00213    0.0049    1.0085
    0.2286     0.0263   -2.48602  -0.00354  -0.00211    0.0049    1.0108
    0.2429     0.0227   -2.51670  -0.00305  -0.00173    0.0040    1.0085
    0.2571     0.0213   -2.54331  -0.00283  -0.00158    0.0036    1.0086
    0.2714     0.0198   -2.54340  -0.00267  -0.00142    0.0033    1.0072
    0.2857     0.0184   -2.54106  -0.00251  -0.00126    0.0029    1.0057
    0.3000     0.0176   -2.57118  -0.00238  -0.00121    0.0028    1.0074
    0.3777     0.0153   -2.62246  -0.00205  -0.00101    0.0023    1.0065
    0.4755     0.0116   -2.73231  -0.00157  -0.00077    0.0018    1.0046
    0.5986     0.0089   -2.88337  -0.00120  -0.00063    0.0014    1.0028
    0.7536     0.0075   -2.95838  -0.00101  -0.00053    0.0012    1.0029
    0.9487     0.0057   -3.05392  -0.00077  -0.00038    0.0009    1.0019
    1.1944     0.0033   -3.29539  -0.00046  -0.00024    0.0006    1.0013
    1.5036     0.0022   -3.49754  -0.00030  -0.00017    0.0004    1.0015
    1.8929     0.0015   -3.68782  -0.00020  -0.00011    0.0003    1.0003
    2.3831     0.0009   -3.95204  -0.00012  -0.00007    0.0002    1.0002
    3.0001     0.0005   -4.16609  -0.00007  -0.00004    0.0001    1.0002
 
tau_V = 0.030
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.1269   -1.83934  -0.01585  -0.00938    0.0216    1.0377
    0.1143     0.1138   -1.87576  -0.01429  -0.00835    0.0192    1.0376
    0.1286     0.1085   -1.87526  -0.01377  -0.00784    0.0180    1.0378
    0.1429     0.0984   -1.87061  -0.01271  -0.00672    0.0155    1.0294
    0.1571     0.0890   -1.93017  -0.01154  -0.00634    0.0146    1.0276
    0.1714     0.0823   -1.98233  -0.01062  -0.00601    0.0138    1.0283
    0.1857     0.0799   -1.96931  -0.01022  -0.00547    0.0126    1.0292
    0.2000     0.0819   -2.00495  -0.01053  -0.00615    0.0142    1.0340
    0.2143     0.0826   -2.02680  -0.01049  -0.00633    0.0146    1.0312
    0.2286     0.0788   -2.03417  -0.01030  -0.00621    0.0143    1.0294
    0.2429     0.0680   -2.06389  -0.00892  -0.00511    0.0118    1.0226
    0.2571     0.0639   -2.08106  -0.00825  -0.00459    0.0106    1.0250
    0.2714     0.0595   -2.08680  -0.00786  -0.00426    0.0098    1.0194
    0.2857     0.0553   -2.08187  -0.00740  -0.00376    0.0087    1.0203
    0.3000     0.0527   -2.11488  -0.00696  -0.00359    0.0083    1.0196
    0.3777     0.0460   -2.16055  -0.00601  -0.00298    0.0069    1.0169
    0.4755     0.0349   -2.26442  -0.00467  -0.00229    0.0053    1.0123
    0.5986     0.0268   -2.41508  -0.00355  -0.00187    0.0043    1.0123
    0.7536     0.0225   -2.48951  -0.00299  -0.00157    0.0036    1.0077
    0.9487     0.0170   -2.58409  -0.00228  -0.00114    0.0026    1.0071
    1.1944     0.0100   -2.82583  -0.00137  -0.00072    0.0017    1.0045
    1.5036     0.0067   -3.02085  -0.00091  -0.00050    0.0011    1.0027
    1.8929     0.0044   -3.21358  -0.00060  -0.00034    0.0008    1.0015
    2.3831     0.0026   -3.47532  -0.00034  -0.00020    0.0005    1.0007
    3.0001     0.0016   -3.69070  -0.00022  -0.00013    0.0003    1.0005
 
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.2116   -1.67552  -0.02517  -0.01557    0.0358    1.0569
    0.1143     0.1897   -1.68762  -0.02296  -0.01366    0.0315    1.0627
    0.1286     0.1809   -1.68159  -0.02197  -0.01257    0.0289    1.0610
    0.1429     0.1640   -1.69579  -0.02045  -0.01138    0.0262    1.0513
    0.1571     0.1483   -1.73455  -0.01855  -0.01027    0.0237    1.0509
    0.1714     0.1372   -1.78762  -0.01693  -0.00963    0.0222    1.0443
    0.1857     0.1332   -1.78198  -0.01665  -0.00925    0.0213    1.0481
    0.2000     0.1364   -1.81561  -0.01692  -0.01007    0.0232    1.0506
    0.2143     0.1377   -1.83314  -0.01705  -0.01046    0.0241    1.0476
    0.2286     0.1313   -1.84796  -0.01660  -0.01024    0.0236    1.0445
    0.2429     0.1134   -1.87317  -0.01428  -0.00831    0.0191    1.0392
    0.2571     0.1066   -1.88072  -0.01340  -0.00755    0.0174    1.0374
    0.2714     0.0992   -1.88489  -0.01284  -0.00705    0.0162    1.0337
    0.2857     0.0922   -1.87592  -0.01207  -0.00617    0.0142    1.0311
    0.3000     0.0879   -1.91266  -0.01131  -0.00590    0.0136    1.0304
    0.3777     0.0766   -1.95785  -0.00989  -0.00502    0.0116    1.0285
    0.4755     0.0581   -2.04909  -0.00769  -0.00376    0.0087    1.0228
    0.5986     0.0447   -2.20134  -0.00586  -0.00310    0.0071    1.0171
    0.7536     0.0374   -2.27109  -0.00495  -0.00260    0.0060    1.0155
    0.9487     0.0283   -2.36878  -0.00377  -0.00190    0.0044    1.0118
    1.1944     0.0167   -2.60949  -0.00227  -0.00120    0.0028    1.0088
    1.5036     0.0111   -2.79971  -0.00151  -0.00082    0.0019    1.0043
    1.8929     0.0074   -2.99538  -0.00100  -0.00056    0.0013    1.0028
    2.3831     0.0043   -3.25303  -0.00058  -0.00033    0.0008    1.0012
    3.0001     0.0027   -3.47013  -0.00037  -0.00022    0.0005    1.0009
 
tau_V = 0.100
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.4231   -1.47976  -0.04480  -0.02913    0.0671    1.1256
    0.1143     0.3794   -1.46535  -0.04179  -0.02571    0.0592    1.1302
    0.1286     0.3617   -1.48177  -0.03984  -0.02442    0.0562    1.1112
    0.1429     0.3281   -1.47185  -0.03711  -0.02143    0.0494    1.1052
    0.1571     0.2966   -1.50131  -0.03383  -0.01928    0.0444    1.0983
    0.1714     0.2745   -1.52901  -0.03156  -0.01796    0.0414    1.0967
    0.1857     0.2665   -1.54978  -0.03077  -0.01782    0.0410    1.0929
    0.2000     0.2729   -1.58996  -0.03118  -0.01935    0.0445    1.0956
    0.2143     0.2753   -1.60777  -0.03135  -0.01998    0.0460    1.0929
    0.2286     0.2626   -1.61156  -0.03087  -0.01962    0.0452    1.0823
    0.2429     0.2267   -1.63543  -0.02649  -0.01593    0.0367    1.0675
    0.2571     0.2132   -1.64134  -0.02535  -0.01497    0.0345    1.0712
    0.2714     0.1985   -1.62002  -0.02410  -0.01323    0.0305    1.0691
    0.2857     0.1844   -1.63189  -0.02257  -0.01202    0.0277    1.0621
    0.3000     0.1758   -1.65071  -0.02147  -0.01138    0.0262    1.0661
    0.3777     0.1533   -1.69571  -0.01893  -0.00988    0.0228    1.0543
    0.4755     0.1162   -1.79077  -0.01480  -0.00759    0.0175    1.0449
    0.5986     0.0894   -1.91083  -0.01135  -0.00591    0.0136    1.0322
    0.7536     0.0748   -1.99824  -0.00962  -0.00518    0.0119    1.0319
    0.9487     0.0565   -2.08567  -0.00743  -0.00382    0.0088    1.0242
    1.1944     0.0334   -2.31223  -0.00450  -0.00237    0.0054    1.0165
    1.5036     0.0223   -2.50398  -0.00300  -0.00163    0.0038    1.0079
    1.8929     0.0148   -2.70080  -0.00199  -0.00112    0.0026    1.0054
    2.3831     0.0086   -2.95725  -0.00115  -0.00067    0.0015    1.0025
    3.0001     0.0055   -3.17059  -0.00073  -0.00044    0.0010    1.0014
 
tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     1.0578   -1.34625  -0.08096  -0.05800    0.1336    1.2813
    0.1143     0.9485   -1.33799  -0.07665  -0.05349    0.1232    1.2653
    0.1286     0.9043   -1.33152  -0.07429  -0.05091    0.1172    1.2742
    0.1429     0.8202   -1.32296  -0.07077  -0.04713    0.1085    1.2559
    0.1571     0.7414   -1.30570  -0.06590  -0.04159    0.0958    1.2367
    0.1714     0.6862   -1.32131  -0.06348  -0.04014    0.0924    1.2194
    0.1857     0.6662   -1.34502  -0.06123  -0.03921    0.0903    1.2085
    0.2000     0.6822   -1.37637  -0.06212  -0.04155    0.0957    1.2077
    0.2143     0.6883   -1.40083  -0.06394  -0.04439    0.1022    1.1953
    0.2286     0.6565   -1.39987  -0.06211  -0.04260    0.0981    1.1824
    0.2429     0.5668   -1.40534  -0.05543  -0.03645    0.0839    1.1682
    0.2571     0.5329   -1.37970  -0.05396  -0.03391    0.0781    1.1620
    0.2714     0.4962   -1.36455  -0.05029  -0.02972    0.0684    1.1743
    0.2857     0.4610   -1.37700  -0.04761  -0.02773    0.0639    1.1698
    0.3000     0.4396   -1.36707  -0.04626  -0.02599    0.0598    1.1571
    0.3777     0.3832   -1.40871  -0.04152  -0.02327    0.0536    1.1370
    0.4755     0.2905   -1.49345  -0.03322  -0.01842    0.0424    1.1078
    0.5986     0.2236   -1.58348  -0.02619  -0.01432    0.0330    1.0798
    0.7536     0.1871   -1.65029  -0.02280  -0.01267    0.0292    1.0680
    0.9487     0.1413   -1.72763  -0.01764  -0.00926    0.0213    1.0555
    1.1944     0.0834   -1.95145  -0.01081  -0.00586    0.0135    1.0341
    1.5036     0.0557   -2.12241  -0.00739  -0.00407    0.0094    1.0212
    1.8929     0.0369   -2.31198  -0.00490  -0.00277    0.0064    1.0136
    2.3831     0.0214   -2.56502  -0.00287  -0.00168    0.0039    1.0062
    3.0001     0.0136   -2.77477  -0.00185  -0.00111    0.0026    1.0051
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     2.1156   -1.41519  -0.10912  -0.08817    0.2030    1.4839
    0.1143     1.8970   -1.37663  -0.10425  -0.08165    0.1880    1.4348
    0.1286     1.8086   -1.34185  -0.10402  -0.07960    0.1833    1.4248
    0.1429     1.6403   -1.30722  -0.09921  -0.07311    0.1683    1.4101
    0.1571     1.4828   -1.28970  -0.09647  -0.06949    0.1600    1.4141
    0.1714     1.3723   -1.29070  -0.09190  -0.06525    0.1502    1.3742
    0.1857     1.3324   -1.31227  -0.09196  -0.06656    0.1533    1.3930
    0.2000     1.3643   -1.34163  -0.09300  -0.06917    0.1593    1.3445
    0.2143     1.3766   -1.37311  -0.09362  -0.07138    0.1644    1.3325
    0.2286     1.3131   -1.36626  -0.09126  -0.06879    0.1584    1.3181
    0.2429     1.1335   -1.33854  -0.08364  -0.06014    0.1385    1.2972
    0.2571     1.0658   -1.30448  -0.08166  -0.05641    0.1299    1.3093
    0.2714     0.9925   -1.28730  -0.07924  -0.05314    0.1224    1.3136
    0.2857     0.9219   -1.26572  -0.07542  -0.04827    0.1111    1.2904
    0.3000     0.8792   -1.25337  -0.07369  -0.04589    0.1057    1.2965
    0.3777     0.7663   -1.27936  -0.06877  -0.04282    0.0986    1.2623
    0.4755     0.5811   -1.33078  -0.05623  -0.03374    0.0777    1.2143
    0.5986     0.4471   -1.38385  -0.04704  -0.02749    0.0633    1.1593
    0.7536     0.3742   -1.44173  -0.04095  -0.02402    0.0553    1.1361
    0.9487     0.2826   -1.50151  -0.03259  -0.01809    0.0416    1.1089
    1.1944     0.1669   -1.69199  -0.02066  -0.01150    0.0265    1.0612
    1.5036     0.1114   -1.86257  -0.01428  -0.00816    0.0188    1.0376
    1.8929     0.0738   -2.03416  -0.00945  -0.00537    0.0124    1.0265
    2.3831     0.0428   -2.27092  -0.00567  -0.00331    0.0076    1.0132
    3.0001     0.0273   -2.49584  -0.00363  -0.00223    0.0051    1.0089
 
tau_V = 0.750
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     3.1734   -1.49508  -0.12062  -0.10266    0.2364    1.5482
    0.1143     2.8455   -1.44527  -0.11845  -0.09845    0.2267    1.5183
    0.1286     2.7129   -1.43415  -0.11635  -0.09594    0.2209    1.5362
    0.1429     2.4605   -1.39778  -0.11320  -0.09122    0.2100    1.5440
    0.1571     2.2242   -1.35269  -0.11153  -0.08729    0.2010    1.5072
    0.1714     2.0585   -1.34038  -0.10842  -0.08368    0.1927    1.4950
    0.1857     1.9986   -1.35458  -0.10673  -0.08286    0.1908    1.4945
    0.2000     2.0465   -1.39547  -0.10935  -0.08744    0.2013    1.4579
    0.2143     2.0648   -1.41211  -0.11005  -0.08891    0.2047    1.4168
    0.2286     1.9696   -1.41474  -0.10717  -0.08629    0.1987    1.3878
    0.2429     1.7003   -1.36717  -0.10108  -0.07816    0.1800    1.4073
    0.2571     1.5987   -1.31276  -0.10022  -0.07438    0.1713    1.3920
    0.2714     1.4887   -1.27971  -0.09667  -0.06908    0.1591    1.4152
    0.2857     1.3829   -1.24143  -0.09473  -0.06480    0.1492    1.4309
    0.3000     1.3187   -1.24872  -0.09087  -0.06167    0.1420    1.4342
    0.3777     1.1495   -1.25062  -0.08550  -0.05678    0.1307    1.3647
    0.4755     0.8716   -1.27154  -0.07331  -0.04663    0.1074    1.2960
    0.5986     0.6707   -1.31019  -0.06219  -0.03832    0.0882    1.2200
    0.7536     0.5613   -1.36246  -0.05582  -0.03490    0.0804    1.1931
    0.9487     0.4238   -1.38462  -0.04502  -0.02559    0.0589    1.1636
    1.1944     0.2503   -1.56499  -0.02864  -0.01619    0.0373    1.0903
    1.5036     0.1671   -1.71035  -0.02077  -0.01199    0.0276    1.0647
    1.8929     0.1107   -1.88014  -0.01400  -0.00813    0.0187    1.0399
    2.3831     0.0642   -2.11119  -0.00824  -0.00483    0.0111    1.0224
    3.0001     0.0409   -2.31132  -0.00545  -0.00331    0.0076    1.0118
 
tau_V = 1.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     4.2312   -1.56332  -0.12691  -0.11130    0.2563    1.5732
    0.1143     3.7940   -1.50942  -0.12773  -0.11006    0.2534    1.5809
    0.1286     3.6172   -1.47056  -0.12445  -0.10530    0.2425    1.5962
    0.1429     3.2806   -1.45548  -0.12374  -0.10397    0.2394    1.6029
    0.1571     2.9656   -1.42434  -0.12046  -0.09941    0.2289    1.6042
    0.1714     2.7447   -1.37572  -0.11811  -0.09475    0.2182    1.5662
    0.1857     2.6647   -1.39601  -0.11579  -0.09359    0.2155    1.5237
    0.2000     2.7287   -1.44146  -0.11874  -0.09856    0.2269    1.5084
    0.2143     2.7531   -1.47861  -0.11698  -0.09849    0.2268    1.4442
    0.2286     2.6262   -1.47375  -0.11709  -0.09839    0.2266    1.4619
    0.2429     2.2670   -1.41577  -0.11168  -0.09063    0.2087    1.4791
    0.2571     2.1316   -1.36130  -0.11011  -0.08641    0.1990    1.4736
    0.2714     1.9849   -1.30184  -0.10735  -0.08045    0.1852    1.5057
    0.2857     1.8439   -1.27027  -0.10544  -0.07670    0.1766    1.5071
    0.3000     1.7583   -1.27349  -0.10318  -0.07479    0.1722    1.4981
    0.3777     1.5326   -1.26273  -0.09859  -0.06980    0.1607    1.4661
    0.4755     1.1622   -1.25137  -0.08683  -0.05807    0.1337    1.3776
    0.5986     0.8942   -1.25980  -0.07499  -0.04750    0.1094    1.2958
    0.7536     0.7485   -1.29602  -0.06693  -0.04203    0.0968    1.2480
    0.9487     0.5651   -1.32326  -0.05568  -0.03284    0.0756    1.2078
    1.1944     0.3338   -1.47675  -0.03735  -0.02184    0.0503    1.1210
    1.5036     0.2228   -1.62189  -0.02653  -0.01564    0.0360    1.0730
    1.8929     0.1476   -1.76983  -0.01822  -0.01060    0.0244    1.0525
    2.3831     0.0856   -1.98652  -0.01117  -0.00660    0.0152    1.0268
    3.0001     0.0545   -2.19900  -0.00724  -0.00446    0.0103    1.0165
 
tau_V = 1.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     6.3469   -1.64626  -0.13400  -0.12085    0.2783    1.5755
    0.1143     5.6910   -1.62708  -0.13371  -0.11999    0.2763    1.6122
    0.1286     5.4259   -1.59917  -0.13368  -0.11906    0.2742    1.6113
    0.1429     4.9209   -1.55927  -0.13170  -0.11577    0.2666    1.6453
    0.1571     4.4484   -1.51558  -0.12869  -0.11123    0.2561    1.6271
    0.1714     4.1170   -1.49474  -0.12894  -0.11063    0.2547    1.6357
    0.1857     3.9971   -1.50388  -0.12683  -0.10897    0.2509    1.6262
    0.2000     4.0930   -1.53787  -0.12830  -0.11171    0.2572    1.5431
    0.2143     4.1297   -1.58293  -0.12928  -0.11426    0.2631    1.5038
    0.2286     3.9393   -1.56602  -0.12398  -0.10857    0.2500    1.4832
    0.2429     3.4005   -1.50225  -0.12216  -0.10442    0.2404    1.5338
    0.2571     3.1974   -1.46065  -0.12151  -0.10206    0.2350    1.5660
    0.2714     2.9774   -1.39003  -0.11879  -0.09614    0.2214    1.6215
    0.2857     2.7658   -1.35233  -0.11802  -0.09341    0.2151    1.6329
    0.3000     2.6375   -1.31793  -0.11753  -0.09098    0.2095    1.6077
    0.3777     2.2990   -1.31923  -0.11035  -0.08430    0.1941    1.5599
    0.4755     1.7433   -1.27508  -0.10205  -0.07383    0.1700    1.4819
    0.5986     1.3413   -1.27062  -0.09121  -0.06339    0.1460    1.3966
    0.7536     1.1227   -1.26988  -0.08588  -0.05834    0.1343    1.3508
    0.9487     0.8477   -1.26861  -0.07193  -0.04516    0.1040    1.2948
    1.1944     0.5007   -1.38129  -0.05095  -0.03112    0.0716    1.1724
    1.5036     0.3343   -1.49507  -0.03730  -0.02242    0.0516    1.1116
    1.8929     0.2214   -1.61397  -0.02664  -0.01555    0.0358    1.0748
    2.3831     0.1283   -1.84644  -0.01603  -0.00966    0.0222    1.0454
