n_taus = 41
n_waves = 25
tau_V = 0.010
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.1000     0.0423   -2.25522  -0.00562  -0.00318    0.0073    1.0168
    0.1143     0.0379   -2.30365  -0.00506  -0.00288    0.0066    1.0111
    0.1286     0.0362   -2.32683  -0.00481  -0.00274    0.0063    1.0109
    0.1429     0.0328   -2.31089  -0.00445  -0.00232    0.0053    1.0112
    0.1571     0.0297   -2.37050  -0.00404  -0.00217    0.0050    1.0081
    0.1714     0.0274   -2.42163  -0.00370  -0.00204    0.0047    1.0111
    0.1857     0.0266   -2.41984  -0.00356  -0.00189    0.0044    1.0106
    0.2000     0.0273   -2.46003  -0.00367  -0.00215    0.0050    1.0085
    0.2143     0.0275   -2.46809  -0.00365  -0.00216    0.0050    1.0100
    0.2286     0.0263   -2.48187  -0.00358  -0.00214    0.0049    1.0120
    0.2429     0.0227   -2.51297  -0.00309  -0.00175    0.0040    1.0093
    0.2571     0.0213   -2.53887  -0.00286  -0.00160    0.0037    1.0081
    0.2714     0.0198   -2.53535  -0.00272  -0.00144    0.0033    1.0079
    0.2857     0.0184   -2.53895  -0.00254  -0.00128    0.0029    1.0063
    0.3000     0.0176   -2.56477  -0.00241  -0.00122    0.0028    1.0066
    0.3777     0.0153   -2.61801  -0.00207  -0.00102    0.0024    1.0066
    0.4755     0.0116   -2.72761  -0.00159  -0.00078    0.0018    1.0045
    0.5986     0.0089   -2.87709  -0.00121  -0.00063    0.0015    1.0029
    0.7536     0.0075   -2.95053  -0.00102  -0.00053    0.0012    1.0038
    0.9487     0.0057   -3.04867  -0.00078  -0.00039    0.0009    1.0023
    1.1944     0.0033   -3.28904  -0.00047  -0.00024    0.0006    1.0014
    1.5036     0.0022   -3.49168  -0.00031  -0.00017    0.0004    1.0017
    1.8929     0.0015   -3.68181  -0.00020  -0.00011    0.0003    1.0007
    2.3831     0.0009   -3.94693  -0.00012  -0.00007    0.0002    1.0002
    3.0001     0.0005   -4.16001  -0.00007  -0.00004    0.0001    1.0002
 
tau_V = 0.030
