n_taus = 30
n_waves = 81
tau_V = 0.050
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0501     0.2915   -1.20121  -0.13827  -0.10224    0.2354    1.0502
    0.0531     0.3014   -1.19448  -0.14334  -0.10636    0.2449    1.0566
    0.0556     0.3117   -1.17390  -0.14795  -0.10885    0.2506    1.0640
    0.0579     0.3286   -1.11285  -0.15591  -0.11042    0.2542    1.0855
    0.0589     0.3441   -1.11599  -0.16362  -0.11767    0.2710    1.0722
    0.0599     0.3737   -1.08648  -0.17714  -0.12668    0.2917    1.0737
    0.0609     0.4086   -1.07942  -0.19366  -0.14055    0.3236    1.0875
    0.0624     0.4587   -1.09128  -0.21757  -0.16306    0.3755    1.1029
    0.0638     0.4992   -1.08205  -0.23685  -0.17887    0.4119    1.0891
    0.0657     0.5376   -1.09097  -0.25496  -0.19582    0.4509    1.0994
    0.0680     0.5638   -1.11919  -0.26697  -0.20987    0.4832    1.1003
    0.0708     0.5763   -1.11235  -0.27327  -0.21452    0.4940    1.0909
    0.0729     0.5759   -1.12741  -0.27297  -0.21613    0.4977    1.0972
    0.0733     0.6084   -1.10960  -0.28869  -0.22760    0.5241    1.0986
    0.0737     0.6037   -1.11078  -0.28664  -0.22597    0.5203    1.0990
    0.0763     0.5719   -1.12281  -0.27043  -0.21334    0.4912    1.1000
    0.0785     0.5461   -1.10918  -0.25927  -0.20187    0.4648    1.0888
    0.0813     0.5216   -1.11915  -0.24731  -0.19257    0.4434    1.0970
    0.0846     0.4982   -1.12249  -0.23659  -0.18350    0.4225    1.0856
    0.0902     0.4818   -1.11889  -0.22935  -0.17667    0.4068    1.0867
    0.0983     0.4517   -1.09385  -0.21471  -0.16083    0.3703    1.0890
    0.1047     0.4151   -1.09248  -0.19681  -0.14483    0.3335    1.0916
    0.1103     0.3853   -1.09659  -0.18282  -0.13284    0.3059    1.0871
    0.1168     0.3592   -1.09927  -0.17040  -0.12204    0.2810    1.0828
    0.1245     0.3345   -1.11193  -0.15864  -0.11279    0.2597    1.0847
    0.1326     0.3128   -1.09786  -0.14854  -0.10229    0.2355    1.0779
    0.1445     0.2861   -1.07334  -0.13606  -0.08858    0.2040    1.0863
    0.1594     0.2416   -1.02820  -0.11463  -0.06463    0.1488    1.0868
    0.1728     0.2096   -0.97854  -0.09964  -0.04573    0.1053    1.0913
    0.1928     0.1786   -0.94977  -0.08488  -0.02931    0.0675    1.0885
    0.2018     0.1693   -0.95336  -0.08066  -0.02602    0.0599    1.1169
    0.2101     0.1624   -0.95295  -0.07728  -0.02300    0.0529    1.0876
    0.2188     0.1549   -0.97390  -0.07373  -0.02226    0.0512    1.0800
    0.2304     0.1445   -0.99762  -0.06889  -0.02051    0.0472    1.0859
    0.2385     0.1377   -1.01401  -0.06541  -0.01909    0.0439    1.0811
    0.2469     0.1310   -1.00839  -0.06233  -0.01575    0.0363    1.0785
    0.2585     0.1234   -1.03225  -0.05868  -0.01482    0.0341    1.0770
    0.2754     0.1140   -1.07981  -0.05421  -0.01508    0.0347    1.0728
    0.3003     0.1032   -1.10800  -0.04916  -0.01280    0.0295    1.0642
    0.3273     0.0936   -1.16254  -0.04455  -0.01265    0.0291    1.0539
    0.3548     0.0856   -1.19868  -0.04070  -0.01152    0.0265    1.0566
    0.3846     0.0783   -1.21397  -0.03719  -0.00921    0.0212    1.0560
    0.4145     0.0718   -1.27740  -0.03413  -0.01001    0.0231    1.0411
    0.4441     0.0662   -1.30426  -0.03150  -0.00892    0.0205    1.0397
    0.4759     0.0607   -1.35095  -0.02883  -0.00862    0.0199    1.0370
    0.5070     0.0559   -1.38078  -0.02654  -0.00774    0.0178    1.0332
    0.5401     0.0513   -1.42714  -0.02442  -0.00757    0.0174    1.0259
    0.5721     0.0473   -1.44880  -0.02256  -0.00659    0.0152    1.0266
    0.6060     0.0435   -1.50058  -0.02071  -0.00656    0.0151    1.0282
    0.6419     0.0399   -1.53042  -0.01901  -0.00583    0.0134    1.0222
    0.6800     0.0365   -1.56136  -0.01739  -0.00516    0.0119    1.0210
    0.7203     0.0334   -1.61559  -0.01588  -0.00510    0.0117    1.0192
    0.7630     0.0304   -1.67153  -0.01447  -0.00501    0.0115    1.0199
    0.8082     0.0277   -1.70657  -0.01320  -0.00449    0.0103    1.0168
    0.8511     0.0255   -1.73955  -0.01208  -0.00402    0.0093    1.0135
    0.8964     0.0234   -1.80036  -0.01110  -0.00410    0.0094    1.0138
    0.9441     0.0215   -1.83310  -0.01022  -0.00374    0.0086    1.0133
    0.9943     0.0197   -1.88874  -0.00937  -0.00367    0.0085    1.0139
    1.0470     0.0180   -1.92637  -0.00858  -0.00336    0.0077    1.0102
    1.1030     0.0166   -1.96815  -0.00785  -0.00312    0.0072    1.0119
    1.1610     0.0152   -2.01010  -0.00724  -0.00294    0.0068    1.0092
    1.2230     0.0140   -2.05085  -0.00664  -0.00274    0.0063    1.0068
    1.2880     0.0128   -2.09457  -0.00610  -0.00257    0.0059    1.0071
    1.3570     0.0119   -2.13859  -0.00565  -0.00246    0.0057    1.0086
    1.4290     0.0110   -2.17987  -0.00523  -0.00233    0.0054    1.0046
    1.5050     0.0102   -2.21850  -0.00483  -0.00219    0.0050    1.0051
    1.5850     0.0094   -2.26803  -0.00449  -0.00213    0.0049    1.0036
    1.6690     0.0087   -2.30533  -0.00415  -0.00199    0.0046    1.0050
    1.7580     0.0081   -2.34392  -0.00386  -0.00188    0.0043    1.0043
    1.8510     0.0075   -2.39010  -0.00360  -0.00182    0.0042    1.0032
    1.9500     0.0070   -2.43447  -0.00334  -0.00174    0.0040    1.0029
    2.0540     0.0065   -2.47646  -0.00309  -0.00164    0.0038    1.0030
    2.1500     0.0061   -2.51532  -0.00290  -0.00157    0.0036    1.0028
    2.2520     0.0057   -2.55257  -0.00271  -0.00149    0.0034    1.0020
    2.3580     0.0053   -2.59720  -0.00254  -0.00144    0.0033    1.0020
    2.4690     0.0050   -2.63838  -0.00237  -0.00137    0.0032    1.0025
    2.5850     0.0047   -2.67981  -0.00222  -0.00131    0.0030    1.0024
    2.7070     0.0044   -2.72152  -0.00207  -0.00125    0.0029    1.0026
    2.8350     0.0041   -2.76749  -0.00193  -0.00118    0.0027    1.0018
    2.9680     0.0038   -2.81102  -0.00181  -0.00114    0.0026    1.0013
    3.0900     0.0036   -2.85302  -0.00170  -0.00109    0.0025    1.0012
 
tau_V = 0.100
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 [um],          ,           in log units       ,
    0.0501     0.5831   -1.02205  -0.27569  -0.20405    0.4699    1.0949
    0.0531     0.6028   -1.06130  -0.28571  -0.21840    0.5029    1.1198
    0.0556     0.6235   -0.99468  -0.29435  -0.21540    0.4960    1.1156
    0.0579     0.6573   -0.98979  -0.31190  -0.22913    0.5276    1.1391
    0.0589     0.6882   -0.95275  -0.32518  -0.23326    0.5371    1.1295
    0.0599     0.7474   -0.94815  -0.35412  -0.25559    0.5885    1.1545
    0.0609     0.8172   -0.98064  -0.38680  -0.28823    0.6637    1.1744
    0.0624     0.9174   -1.00286  -0.43291  -0.32938    0.7584    1.1790
    0.0638     0.9983   -1.02704  -0.47237  -0.36556    0.8417    1.1720
