tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.4188   -0.93733  -1.13192  -0.72279    1.6643    2.2689
 1143     1.8600   -0.76083  -0.87360  -0.51254    1.1802    2.0058
 1286     1.5170   -0.68922  -0.71424  -0.40052    0.9222    1.8315
 1429     1.2917   -0.64791  -0.60910  -0.32704    0.7530    1.7157
 1571     1.1340   -0.63026  -0.53533  -0.27918    0.6428    1.6313
 1714     1.0185   -0.61660  -0.48101  -0.24250    0.5584    1.5750
 1857     0.9250   -0.61827  -0.43731  -0.21740    0.5006    1.5180
 2000     0.8447   -0.62982  -0.39953  -0.19856    0.4572    1.4703
 2143     0.7753   -0.64701  -0.36690  -0.18372    0.4230    1.4295
 2286     0.7143   -0.66293  -0.33813  -0.16982    0.3910    1.3903
 2429     0.6605   -0.68119  -0.31282  -0.15803    0.3639    1.3623
 2571     0.6130   -0.70084  -0.29043  -0.14783    0.3404    1.3333
 2714     0.5705   -0.72232  -0.27036  -0.13899    0.3200    1.3050
 2857     0.5332   -0.72954  -0.25279  -0.12776    0.2942    1.2890
 3000     0.5077   -0.73911  -0.24079  -0.12105    0.2787    1.2749
 3777     0.4025   -0.81771  -0.19095  -0.09887    0.2277    1.2164
 4755     0.3052   -0.90334  -0.14501  -0.07518    0.1731    1.1643
 5986     0.2200   -1.01758  -0.10452  -0.05446    0.1254    1.1202
 7536     0.1575   -1.14286  -0.07485  -0.03922    0.0903    1.0851
 9487     0.1075   -1.28019  -0.05110  -0.02620    0.0603    1.0617
11944     0.0680   -1.47953  -0.03231  -0.01707    0.0393    1.0341
15036     0.0415   -1.69231  -0.01991  -0.01078    0.0248    1.0184
18929     0.0278   -1.88661  -0.01350  -0.00772    0.0178    1.0177
23831     0.0188   -2.07581  -0.00891  -0.00520    0.0120    1.0086
30001     0.0082   -2.44543  -0.00477  -0.00320    0.0074    1.0071
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     4.8375   -1.55852  -2.22926  -1.47450    3.3952    3.9097
 1143     3.7200   -1.15820  -1.72614  -1.05425    2.4275    3.3046
 1286     3.0340   -0.95539  -1.41416  -0.82579    1.9015    2.8839
 1429     2.5835   -0.82707  -1.20752  -0.67588    1.5563    2.6079
 1571     2.2680   -0.74808  -1.06250  -0.57641    1.3272    2.4071
 1714     2.0370   -0.68943  -0.95590  -0.50151    1.1548    2.2730
 1857     1.8500   -0.65853  -0.86919  -0.45018    1.0366    2.1499
 2000     1.6895   -0.64254  -0.79450  -0.41088    0.9461    2.0400
 2143     1.5505   -0.63663  -0.72980  -0.37969    0.8743    1.9400
 2286     1.4285   -0.63219  -0.67298  -0.35108    0.8084    1.8584
 2429     1.3210   -0.63127  -0.62275  -0.32596    0.7506    1.7842
 2571     1.2260   -0.63425  -0.57831  -0.30435    0.7008    1.7171
 2714     1.1410   -0.64137  -0.53854  -0.28589    0.6583    1.6591
 2857     1.0665   -0.63325  -0.50363  -0.26259    0.6046    1.6177
 3000     1.0155   -0.63319  -0.47964  -0.24863    0.5725    1.5872
 3777     0.8050   -0.67567  -0.38095  -0.20275    0.4668    1.4584
 4755     0.6105   -0.72521  -0.28927  -0.15366    0.3538    1.3480
 5986     0.4400   -0.80583  -0.20873  -0.11082    0.2552    1.2475
 7536     0.3150   -0.90627  -0.14956  -0.07949    0.1830    1.1742
 9487     0.2150   -1.02297  -0.10215  -0.05293    0.1219    1.1225
11944     0.1360   -1.20697  -0.06465  -0.03443    0.0793    1.0726
15036     0.0830   -1.40923  -0.03947  -0.02132    0.0491    1.0421
18929     0.0555   -1.59783  -0.02639  -0.01490    0.0343    1.0322
23831     0.0375   -1.78298  -0.01782  -0.01043    0.0240    1.0206
30001     0.0165   -2.14864  -0.00775  -0.00462    0.0106    1.0094
 
tau_V = 0.750
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     7.2562   -2.27394  -3.29842  -2.23472    5.1456    5.7136
 1143     5.5800   -1.65659  -2.55951  -1.60541    3.6966    4.7597
 1286     4.5510   -1.33046  -2.10033  -1.26232    2.9066    4.0814
