tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     1.3095   -0.99446  -0.45889  -0.34784    0.8009    1.5597
 1143     0.9795   -0.84662  -0.36898  -0.24417    0.5622    1.4930
 1286     0.7955   -0.76672  -0.31225  -0.18154    0.4180    1.4467
 1429     0.6950   -0.73224  -0.27894  -0.14792    0.3406    1.4153
 1571     0.6460   -0.72717  -0.26201  -0.13405    0.3087    1.3966
 1714     0.6273   -0.73832  -0.25567  -0.13211    0.3042    1.3814
 1857     0.6403   -0.77077  -0.26005  -0.14327    0.3299    1.3827
 2000     0.7107   -0.84084  -0.28398  -0.17765    0.4091    1.3884
 2143     0.7975   -0.91360  -0.31205  -0.21504    0.4951    1.4035
 2286     0.7275   -0.89516  -0.28960  -0.19339    0.4453    1.3779
 2429     0.6180   -0.85335  -0.25219  -0.15510    0.3571    1.3464
 2571     0.5485   -0.83342  -0.22763  -0.13146    0.3027    1.3230
 2714     0.5055   -0.83205  -0.21158  -0.11829    0.2724    1.3062
 2857     0.4762   -0.82975  -0.20105  -0.10934    0.2518    1.2900
 3000     0.4545   -0.83323  -0.19270  -0.10322    0.2377    1.2785
 3777     0.3817   -0.88342  -0.16456  -0.08863    0.2041    1.2392
 4755     0.2998   -0.94465  -0.13141  -0.06930    0.1596    1.1918
 5986     0.2272   -1.03941  -0.10139  -0.05398    0.1243    1.1439
 7536     0.1667   -1.15240  -0.07537  -0.04044    0.0931    1.1053
 9487     0.1100   -1.28464  -0.05042  -0.02580    0.0594    1.0735
11944     0.0760   -1.45239  -0.03503  -0.01872    0.0431    1.0464
15036     0.0525   -1.61602  -0.02426  -0.01328    0.0306    1.0391
18929     0.0362   -1.77582  -0.01689  -0.00939    0.0216    1.0263
23831     0.0250   -1.95410  -0.01160  -0.00667    0.0154    1.0173
30001     0.0172   -2.13744  -0.00808  -0.00487    0.0112    1.0131
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.6190   -1.15554  -0.71194  -0.57837    1.3318    2.0111
 1143     1.9590   -0.92231  -0.60163  -0.43199    0.9947    1.9344
 1286     1.5910   -0.78119  -0.52738  -0.33497    0.7713    1.8754
 1429     1.3900   -0.71014  -0.47956  -0.27870    0.6417    1.8231
 1571     1.2920   -0.68685  -0.45560  -0.25498    0.5871    1.7902
 1714     1.2545   -0.69466  -0.44543  -0.25138    0.5788    1.7662
 1857     1.2805   -0.73655  -0.45238  -0.27060    0.6231    1.7518
 2000     1.4215   -0.84183  -0.48811  -0.32888    0.7573    1.7550
 2143     1.5950   -0.95098  -0.52798  -0.38887    0.8954    1.7678
 2286     1.4550   -0.91010  -0.49593  -0.35438    0.8160    1.7313
 2429     1.2360   -0.82406  -0.44061  -0.29030    0.6684    1.6747
 2571     1.0970   -0.77668  -0.40314  -0.24990    0.5754    1.6359
 2714     1.0110   -0.75764  -0.37833  -0.22680    0.5222    1.6071
 2857     0.9525   -0.74439  -0.36064  -0.21041    0.4845    1.5822
 3000     0.9090   -0.73796  -0.34767  -0.19934    0.4590    1.5587
 3777     0.7635   -0.76215  -0.30168  -0.17252    0.3972    1.4792
 4755     0.5995   -0.78939  -0.24585  -0.13659    0.3145    1.3862
 5986     0.4545   -0.85383  -0.19237  -0.10671    0.2457    1.2922
 7536     0.3335   -0.93893  -0.14521  -0.08045    0.1852    1.2184
 9487     0.2200   -1.04225  -0.09834  -0.05154    0.1187    1.1484
11944     0.1520   -1.19303  -0.06898  -0.03751    0.0864    1.0973
15036     0.1050   -1.34327  -0.04818  -0.02670    0.0615    1.0733
18929     0.0725   -1.49667  -0.03339  -0.01869    0.0430    1.0506
23831     0.0500   -1.66936  -0.02312  -0.01342    0.0309    1.0340
30001     0.0345   -1.84650  -0.01610  -0.00972    0.0224    1.0255
 
tau_V = 0.750
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     3.9285   -1.31950  -0.86280  -0.73266    1.6870    2.3540
 1143     2.9385   -1.04766  -0.75563  -0.57652    1.3275    2.3194
 1286     2.3865   -0.86723  -0.67702  -0.46076    1.0609    2.2601
 1429     2.0850   -0.77130  -0.62618  -0.39168    0.9019    2.2062
 1571     1.9380   -0.73469  -0.59917  -0.36063    0.8304    2.1590
 1714     1.8817   -0.74038  -0.58807  -0.35655    0.8210    2.1315
 1857     1.9208   -0.79045  -0.59470  -0.38061    0.8764    2.0990
 2000     2.1323   -0.92004  -0.63376  -0.45270    1.0424    2.0864
 2143     2.3925   -1.05245  -0.67820  -0.52517    1.2092    2.0839
 2286     2.1825   -0.99686  -0.64332  -0.48404    1.1145    2.0420
 2429     1.8540   -0.88433  -0.58039  -0.40527    0.9332    1.9843
 2571     1.6455   -0.81418  -0.53794  -0.35343    0.8138    1.9299
