tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 1714     4.0740   -1.13995  -0.23898  -0.18759    0.4319    0.8022
 1857     3.7000   -1.10821  -0.23282  -0.17850    0.4110    0.7894
 2000     3.3790   -1.08863  -0.22690  -0.17095    0.3936    0.7672
 2143     3.1010   -1.07739  -0.22154  -0.16488    0.3796    0.7450
 2286     2.8570   -1.06444  -0.21594  -0.15837    0.3647    0.7253
 2429     2.6420   -1.05552  -0.21037  -0.15239    0.3509    0.7057
 2571     2.4520   -1.04851  -0.20515  -0.14694    0.3384    0.6878
 2714     2.2820   -1.04546  -0.19993  -0.14199    0.3269    0.6699
 2857     2.1330   -1.02716  -0.19447  -0.13491    0.3106    0.6638
 3000     2.0310   -1.01951  -0.19017  -0.13018    0.2997    0.6562
 3777     1.6100   -1.02402  -0.17104  -0.11402    0.2625    0.6053
 4755     1.2210   -1.02940  -0.14693  -0.09344    0.2152    0.5646
 5986     0.8800   -1.06228  -0.11939  -0.07248    0.1669    0.5268
 7536     0.6300   -1.12509  -0.09341  -0.05481    0.1262    0.4954
 9487     0.4300   -1.20604  -0.06892  -0.03835    0.0883    0.4750
11944     0.2720   -1.36074  -0.04632  -0.02576    0.0593    0.4510
15036     0.1660   -1.54176  -0.02948  -0.01633    0.0376    0.4322
18929     0.1110   -1.72000  -0.02012  -0.01154    0.0266    0.4204
23831     0.0750   -1.89812  -0.01377  -0.00814    0.0187    0.4080
30001     0.0330   -2.25482  -0.00614  -0.00370    0.0085    0.3982
 
tau_V = 1.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    14.5125   -1.73224  -0.28213  -0.26699    0.6148    0.7148
 1143    11.1600   -1.56765  -0.27697  -0.25528    0.5878    0.7928
 1286     9.1020   -1.46642  -0.27035  -0.24355    0.5608    0.8188
 1429     7.7505   -1.37941  -0.26629  -0.23405    0.5389    0.8463
 1571     6.8040   -1.31867  -0.26196  -0.22542    0.5191    0.8578
 1714     6.1110   -1.25786  -0.25778  -0.21640    0.4983    0.8728
 1857     5.5500   -1.22363  -0.25370  -0.20949    0.4824    0.8673
 2000     5.0685   -1.19780  -0.25009  -0.20367    0.4690    0.8503
 2143     4.6515   -1.17966  -0.24587  -0.19802    0.4560    0.8262
 2286     4.2855   -1.16212  -0.24161  -0.19235    0.4429    0.8066
 2429     3.9630   -1.14577  -0.23698  -0.18646    0.4293    0.7845
 2571     3.6780   -1.13369  -0.23229  -0.18095    0.4167    0.7637
 2714     3.4230   -1.12614  -0.22768  -0.17601    0.4053    0.7415
 2857     3.1995   -1.09910  -0.22324  -0.16898    0.3891    0.7380
 3000     3.0465   -1.08605  -0.22024  -0.16478    0.3794    0.7338
 3777     2.4150   -1.06593  -0.20396  -0.14804    0.3409    0.6729
 4755     1.8315   -1.03820  -0.18204  -0.12542    0.2888    0.6244
 5986     1.3200   -1.03434  -0.15364  -0.09994    0.2301    0.5732
 7536     0.9450   -1.06091  -0.12508  -0.07745    0.1783    0.5315
 9487     0.6450   -1.11127  -0.09509  -0.05514    0.1270    0.5011
11944     0.4080   -1.23838  -0.06598  -0.03772    0.0868    0.4678
15036     0.2490   -1.40013  -0.04278  -0.02411    0.0555    0.4423
18929     0.1665   -1.56704  -0.02957  -0.01715    0.0395    0.4275
23831     0.1125   -1.73787  -0.02038  -0.01214    0.0279    0.4129
