tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.4188   -0.99113  -0.41679  -0.31419    0.7235    1.6723
 1143     1.8600   -0.88785  -0.36169  -0.24850    0.5722    1.5937
 1286     1.5170   -0.84800  -0.31904  -0.20649    0.4755    1.5237
 1429     1.2917   -0.81985  -0.28853  -0.17652    0.4065    1.4709
 1571     1.1340   -0.81091  -0.26320  -0.15486    0.3566    1.4264
 1714     1.0185   -0.80265  -0.24311  -0.13735    0.3163    1.3958
 1857     0.9250   -0.80626  -0.22675  -0.12524    0.2884    1.3619
 2000     0.8447   -0.81878  -0.21208  -0.11609    0.2673    1.3328
 2143     0.7753   -0.83658  -0.19817  -0.10829    0.2493    1.3062
 2286     0.7143   -0.85309  -0.18579  -0.10117    0.2329    1.2806
 2429     0.6605   -0.87145  -0.17423  -0.09476    0.2182    1.2629
 2571     0.6130   -0.89125  -0.16395  -0.08936    0.2058    1.2466
 2714     0.5705   -0.91221  -0.15469  -0.08473    0.1951    1.2249
 2857     0.5332   -0.91924  -0.14600  -0.07835    0.1804    1.2126
 3000     0.5077   -0.92775  -0.14035  -0.07471    0.1720    1.2048
 3777     0.4025   -1.00514  -0.11445  -0.06190    0.1425    1.1638
 4755     0.3052   -1.08828  -0.08938  -0.04788    0.1103    1.1306
 5986     0.2200   -1.19752  -0.06619  -0.03522    0.0811    1.0891
 7536     0.1575   -1.31951  -0.04836  -0.02570    0.0592    1.0657
 9487     0.1075   -1.45384  -0.03354  -0.01735    0.0400    1.0491
11944     0.0680   -1.65048  -0.02149  -0.01140    0.0263    1.0265
15036     0.0415   -1.86279  -0.01318  -0.00708    0.0163    1.0141
18929     0.0278   -2.05677  -0.00886  -0.00499    0.0115    1.0126
23831     0.0188   -2.24416  -0.00598  -0.00348    0.0080    1.0098
30001     0.0082   -2.61440  -0.00247  -0.00141    0.0032    1.0062
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     4.8375   -1.16332  -0.55627  -0.46035    1.0600    2.0709
 1143     3.7200   -1.01098  -0.50733  -0.38888    0.8954    2.0094
 1286     3.0340   -0.92870  -0.46637  -0.33769    0.7776    1.9230
 1429     2.5835   -0.86936  -0.43150  -0.29641    0.6825    1.8491
 1571     2.2680   -0.83270  -0.40358  -0.26614    0.6128    1.7837
 1714     2.0370   -0.79943  -0.38190  -0.24128    0.5556    1.7390
 1857     1.8500   -0.78701  -0.36113  -0.22280    0.5130    1.6870
 2000     1.6895   -0.78342  -0.34177  -0.20769    0.4782    1.6331
 2143     1.5505   -0.78778  -0.32458  -0.19612    0.4516    1.5882
 2286     1.4285   -0.79014  -0.30804  -0.18434    0.4245    1.5435
 2429     1.3210   -0.79634  -0.29307  -0.17452    0.4019    1.5090
 2571     1.2260   -0.80555  -0.27830  -0.16536    0.3808    1.4761
 2714     1.1410   -0.81708  -0.26411  -0.15693    0.3613    1.4399
 2857     1.0665   -0.81142  -0.25228  -0.14644    0.3372    1.4175
 3000     1.0155   -0.81314  -0.24373  -0.14009    0.3226    1.4027
 3777     0.8050   -0.86036  -0.20451  -0.11783    0.2713    1.3236
 4755     0.6105   -0.91141  -0.16370  -0.09227    0.2125    1.2534
 5986     0.4400   -0.99146  -0.12385  -0.06861    0.1580    1.1804
 7536     0.3150   -1.08925  -0.09203  -0.05038    0.1160    1.1334
 9487     0.2150   -1.20215  -0.06480  -0.03424    0.0788    1.0954
11944     0.1360   -1.38206  -0.04206  -0.02265    0.0522    1.0557
15036     0.0830   -1.58173  -0.02607  -0.01415    0.0326    1.0320
18929     0.0555   -1.76970  -0.01756  -0.00994    0.0229    1.0245
23831     0.0375   -1.95238  -0.01191  -0.00696    0.0160    1.0166
30001     0.0165   -2.31761  -0.00525  -0.00313    0.0072    1.0098
 
tau_V = 0.750
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     7.2562   -1.29477  -0.62389  -0.53989    1.2432    2.3093
 1143     5.5800   -1.13182  -0.58080  -0.47319    1.0896    2.2894
 1286     4.5510   -1.03240  -0.54558  -0.42305    0.9741    2.2119
 1429     3.8753   -0.95655  -0.51464  -0.38063    0.8764    2.1425
 1571     3.4020   -0.90533  -0.48844  -0.34764    0.8005    2.0726
 1714     3.0555   -0.86013  -0.46749  -0.31984    0.7365    2.0249
 1857     2.7750   -0.83508  -0.44675  -0.29786    0.6858    1.9599
 2000     2.5343   -0.82273  -0.42797  -0.28093    0.6469    1.8956
 2143     2.3258   -0.81832  -0.41016  -0.26693    0.6146    1.8337
 2286     2.1428   -0.81300  -0.39220  -0.25248    0.5814    1.7783
 2429     1.9815   -0.81051  -0.37582  -0.23988    0.5523    1.7275
 2571     1.8390   -0.81238  -0.35978  -0.22858    0.5263    1.6809
 2714     1.7115   -0.81472  -0.34494  -0.21816    0.5023    1.6325
 2857     1.5998   -0.80209  -0.33137  -0.20482    0.4716    1.6052
 3000     1.5232   -0.79906  -0.32107  -0.19635    0.4521    1.5833
 3777     1.2075   -0.82400  -0.27485  -0.16683    0.3841    1.4722
 4755     0.9158   -0.84998  -0.22542  -0.13292    0.3061    1.3723
 5986     0.6600   -0.90411  -0.17417  -0.10000    0.2303    1.2701
 7536     0.4725   -0.98062  -0.13154  -0.07404    0.1705    1.1987
 9487     0.3225   -1.07343  -0.09410  -0.05079    0.1169    1.1427
11944     0.2040   -1.23693  -0.06176  -0.03367    0.0775    1.0848
15036     0.1245   -1.42443  -0.03870  -0.02119    0.0488    1.0501
18929     0.0833   -1.60614  -0.02617  -0.01490    0.0343    1.0386
23831     0.0562   -1.78590  -0.01784  -0.01049    0.0242    1.0259
30001     0.0247   -2.14468  -0.00791  -0.00475    0.0109    1.0134
 
tau_V = 1.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     9.6750   -1.39089  -0.66454  -0.58980    1.3581    2.4674
 1143     7.4400   -1.22464  -0.62748  -0.52958    1.2194    2.4847
 1286     6.0680   -1.12216  -0.59440  -0.48158    1.1089    2.4224
 1429     5.1670   -1.03916  -0.56510  -0.43940    1.0117    2.3627
 1571     4.5360   -0.98050  -0.54483  -0.40915    0.9421    2.3057
 1714     4.0740   -0.92775  -0.52358  -0.37922    0.8732    2.2563
 1857     3.7000   -0.89678  -0.50504  -0.35714    0.8223    2.1908
 2000     3.3790   -0.87864  -0.48709  -0.33912    0.7809    2.1198
 2143     3.1010   -0.86772  -0.46844  -0.32270    0.7430    2.0426
 2286     2.8570   -0.85543  -0.45290  -0.30808    0.7094    1.9803
 2429     2.6420   -0.84772  -0.43697  -0.29447    0.6780    1.9216
 2571     2.4520   -0.84204  -0.42133  -0.28158    0.6484    1.8605
 2714     2.2820   -0.84165  -0.40565  -0.27006    0.6218    1.8091
 2857     2.1330   -0.82338  -0.39109  -0.25451    0.5860    1.7745
 3000     2.0310   -0.81579  -0.38104  -0.24511    0.5644    1.7493
 3777     1.6100   -0.82384  -0.33238  -0.21098    0.4858    1.6112
 4755     1.2210   -0.82885  -0.27774  -0.17015    0.3918    1.4844
 5986     0.8800   -0.86146  -0.21861  -0.12955    0.2983    1.3567
 7536     0.6300   -0.91907  -0.16756  -0.09670    0.2227    1.2626
 9487     0.4300   -0.99401  -0.12144  -0.06679    0.1538    1.1876
11944     0.2720   -1.14307  -0.08063  -0.04456    0.1026    1.1144
15036     0.1660   -1.31972  -0.05081  -0.02804    0.0646    1.0681
18929     0.1110   -1.49453  -0.03457  -0.01977    0.0455    1.0501
23831     0.0750   -1.67082  -0.02360  -0.01392    0.0321    1.0343
30001     0.0330   -2.02365  -0.01051  -0.00632    0.0145    1.0169
 
tau_V = 1.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    14.5125   -1.50074  -0.71731  -0.65111    1.4992    2.6549
 1143    11.1600   -1.35455  -0.68265  -0.59884    1.3789    2.7317
 1286     9.1020   -1.25151  -0.65699  -0.55856    1.2861    2.7109
 1429     7.7505   -1.16952  -0.63122  -0.52079    1.1992    2.6787
 1571     6.8040   -1.10235  -0.61479  -0.49244    1.1339    2.6365
 1714     6.1110   -1.04801  -0.59713  -0.46548    1.0718    2.6122
 1857     5.5500   -1.01170  -0.57992  -0.44320    1.0205    2.5479
 2000     5.0685   -0.98530  -0.56507  -0.42519    0.9790    2.4671
 2143     4.6515   -0.96812  -0.54906  -0.40887    0.9414    2.3828
 2286     4.2855   -0.94970  -0.53313  -0.39224    0.9032    2.3062
