tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.4188   -0.93771  -0.85068  -0.59099    1.3608    2.1360
 1143     1.8600   -0.79630  -0.69383  -0.44102    1.0155    1.9568
 1286     1.5170   -0.73434  -0.58938  -0.35481    0.8170    1.8155
 1429     1.2917   -0.69800  -0.51567  -0.29631    0.6823    1.7232
 1571     1.1340   -0.67939  -0.46096  -0.25556    0.5884    1.6436
 1714     1.0185   -0.66441  -0.42068  -0.22464    0.5172    1.5937
 1857     0.9250   -0.66422  -0.38592  -0.20212    0.4654    1.5367
 2000     0.8447   -0.67550  -0.35613  -0.18607    0.4284    1.4930
 2143     0.7753   -0.69098  -0.32965  -0.17275    0.3978    1.4516
 2286     0.7143   -0.70525  -0.30632  -0.16048    0.3695    1.4129
 2429     0.6605   -0.72200  -0.28528  -0.14988    0.3451    1.3852
 2571     0.6130   -0.74027  -0.26654  -0.14075    0.3241    1.3584
 2714     0.5705   -0.76026  -0.24932  -0.13259    0.3053    1.3273
 2857     0.5332   -0.76602  -0.23417  -0.12228    0.2816    1.3100
 3000     0.5077   -0.77458  -0.22376  -0.11611    0.2674    1.2972
 3777     0.4025   -0.84825  -0.17980  -0.09538    0.2196    1.2363
 4755     0.3052   -0.92956  -0.13806  -0.07299    0.1681    1.1841
 5986     0.2200   -1.03795  -0.10070  -0.05322    0.1225    1.1284
 7536     0.1575   -1.15843  -0.07281  -0.03854    0.0887    1.0943
 9487     0.1075   -1.29236  -0.04998  -0.02581    0.0594    1.0684
11944     0.0680   -1.48892  -0.03169  -0.01679    0.0387    1.0385
15036     0.0415   -1.69982  -0.01947  -0.01049    0.0242    1.0212
18929     0.0278   -1.89201  -0.01303  -0.00733    0.0169    1.0194
23831     0.0188   -2.08049  -0.00882  -0.00515    0.0119    1.0132
30001     0.0082   -2.44990  -0.00381  -0.00225    0.0052    1.0075
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     4.8375   -1.26964  -1.37589  -1.01849    2.3452    3.0947
 1143     3.7200   -1.03982  -1.15444  -0.79233    1.8244    2.8427
 1286     3.0340   -0.91392  -1.00191  -0.65466    1.5074    2.6114
 1429     2.5835   -0.82363  -0.89243  -0.55564    1.2794    2.4375
 1571     2.2680   -0.76708  -0.81066  -0.48729    1.1220    2.3021
 1714     2.0370   -0.71880  -0.74628  -0.43130    0.9931    2.2011
 1857     1.8500   -0.69559  -0.69184  -0.39268    0.9042    2.1048
 2000     1.6895   -0.68356  -0.64368  -0.36213    0.8338    2.0107
 2143     1.5505   -0.68068  -0.60027  -0.33758    0.7773    1.9238
 2286     1.4285   -0.67830  -0.56096  -0.31465    0.7245    1.8513
 2429     1.3210   -0.67960  -0.52519  -0.29454    0.6782    1.7884
 2571     1.2260   -0.68306  -0.49303  -0.27671    0.6371    1.7267
 2714     1.1410   -0.69057  -0.46378  -0.26151    0.6021    1.6737
 2857     1.0665   -0.68101  -0.43812  -0.24177    0.5567    1.6344
 3000     1.0155   -0.68228  -0.41908  -0.23001    0.5296    1.6098
 3777     0.8050   -0.72089  -0.34127  -0.18983    0.4371    1.4815
 4755     0.6105   -0.76457  -0.26544  -0.14590    0.3359    1.3702
 5986     0.4400   -0.83827  -0.19561  -0.10652    0.2453    1.2633
 7536     0.3150   -0.93232  -0.14239  -0.07710    0.1775    1.1910
 9487     0.2150   -1.04285  -0.09849  -0.05174    0.1191    1.1351
11944     0.1360   -1.22135  -0.06295  -0.03380    0.0778    1.0807
15036     0.0830   -1.41937  -0.03868  -0.02097    0.0483    1.0468
18929     0.0555   -1.60647  -0.02597  -0.01471    0.0339    1.0358
23831     0.0375   -1.79003  -0.01763  -0.01036    0.0238    1.0229
30001     0.0165   -2.15277  -0.00778  -0.00468    0.0108    1.0126
 
tau_V = 0.750
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     7.2562   -1.54996  -1.77774  -1.34806    3.1040    3.8440
 1143     5.5800   -1.27830  -1.50883  -1.07742    2.4808    3.5897
 1286     4.5510   -1.11317  -1.32127  -0.90385    2.0812    3.3048
 1429     3.8753   -0.99628  -1.18987  -0.78135    1.7991    3.1011
 1571     3.4020   -0.91498  -1.08710  -0.69154    1.5923    2.9262
 1714     3.0555   -0.84620  -1.00912  -0.61903    1.4254    2.7941
 1857     2.7750   -0.80359  -0.93841  -0.56476    1.3004    2.6526
 2000     2.5343   -0.77708  -0.87973  -0.52435    1.2074    2.5203
 2143     2.3258   -0.75922  -0.82464  -0.48967    1.1275    2.3891
 2286     2.1428   -0.74456  -0.77575  -0.45885    1.0565    2.2873
 2429     1.9815   -0.73107  -0.73084  -0.42992    0.9899    2.1825
 2571     1.8390   -0.72481  -0.68850  -0.40525    0.9331    2.0927
 2714     1.7115   -0.72230  -0.65011  -0.38367    0.8834    2.0154
 2857     1.5998   -0.70219  -0.61554  -0.35568    0.8190    1.9601
 3000     1.5232   -0.69607  -0.59135  -0.33953    0.7818    1.9217
 3777     1.2075   -0.70664  -0.48703  -0.28207    0.6495    1.7321
 4755     0.9158   -0.71850  -0.38298  -0.21808    0.5022    1.5619
 5986     0.6600   -0.76034  -0.28498  -0.15960    0.3675    1.4010
 7536     0.4725   -0.82906  -0.20932  -0.11589    0.2668    1.2901
 9487     0.3225   -0.91666  -0.14578  -0.07779    0.1791    1.2022
11944     0.2040   -1.07787  -0.09366  -0.05081    0.1170    1.1219
15036     0.1245   -1.26412  -0.05771  -0.03152    0.0726    1.0771
18929     0.0833   -1.44466  -0.03877  -0.02204    0.0507    1.0531
23831     0.0562   -1.62399  -0.02632  -0.01549    0.0357    1.0320
30001     0.0247   -1.98170  -0.01156  -0.00693    0.0160    1.0178
 
tau_V = 1.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     9.6750   -1.79408  -2.13088  -1.62959    3.7523    4.4815
 1143     7.4400   -1.48647  -1.80590  -1.31642    3.0312    4.2215
 1286     6.0680   -1.30274  -1.59176  -1.12261    2.5849    3.9287
 1429     5.1670   -1.15797  -1.43624  -0.97416    2.2431    3.6770
 1571     4.5360   -1.06132  -1.32033  -0.87077    2.0050    3.4808
 1714     4.0740   -0.97906  -1.22840  -0.78504    1.8076    3.3353
 1857     3.7000   -0.92484  -1.15224  -0.72279    1.6643    3.1700
 2000     3.3790   -0.88852  -1.08332  -0.67406    1.5521    3.0085
 2143     3.1010   -0.86098  -1.01893  -0.63178    1.4547    2.8439
 2286     2.8570   -0.83375  -0.96055  -0.59151    1.3620    2.7008
 2429     2.6420   -0.81521  -0.90738  -0.55783    1.2844    2.5796
 2571     2.4520   -0.79771  -0.85897  -0.52623    1.2117    2.4561
 2714     2.2820   -0.78638  -0.81400  -0.49894    1.1489    2.3510
 2857     2.1330   -0.75835  -0.77443  -0.46529    1.0714    2.2864
 3000     2.0310   -0.74502  -0.74496  -0.44396    1.0223    2.2311
 3777     1.6100   -0.73115  -0.61887  -0.37036    0.8528    1.9763
 4755     1.2210   -0.71463  -0.49104  -0.28757    0.6622    1.7466
 5986     0.8800   -0.72905  -0.36923  -0.21186    0.4878    1.5384
 7536     0.6300   -0.77483  -0.27346  -0.15446    0.3557    1.3883
 9487     0.4300   -0.84181  -0.19154  -0.10385    0.2391    1.2715
11944     0.2720   -0.98645  -0.12359  -0.06778    0.1561    1.1648
15036     0.1660   -1.15973  -0.07658  -0.04212    0.0970    1.0986
18929     0.1110   -1.33376  -0.05158  -0.02948    0.0679    1.0701
23831     0.0750   -1.50934  -0.03498  -0.02065    0.0476    1.0476
30001     0.0330   -1.86171  -0.01566  -0.00951    0.0219    1.0230
 
tau_V = 1.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    14.5125   -2.22671  -2.77086  -2.11759    4.8759    5.5880
 1143    11.1600   -1.84206  -2.33801  -1.72176    3.9645    5.2773
 1286     9.1020   -1.61337  -2.05027  -1.47802    3.4033    4.9264
 1429     7.7505   -1.44575  -1.85076  -1.30163    2.9971    4.6669
 1571     6.8040   -1.32794  -1.70935  -1.17703    2.7102    4.4464
 1714     6.1110   -1.22653  -1.59812  -1.07271    2.4700    4.2855
 1857     5.5500   -1.15711  -1.50532  -0.99618    2.2938    4.0847
 2000     5.0685   -1.10321  -1.41629  -0.93110    2.1439    3.8633
 2143     4.6515   -1.06359  -1.33879  -0.87872    2.0233    3.6519
 2286     4.2855   -1.02551  -1.27017  -0.82980    1.9107    3.4716
 2429     3.9630   -0.99020  -1.20681  -0.78411    1.8055    3.2928
 2571     3.6780   -0.96150  -1.14778  -0.74370    1.7124    3.1290
