tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 1714     4.0740   -0.83361  -0.75250  -0.49013    1.1286    2.4105
 1857     3.7000   -0.80155  -0.71355  -0.45429    1.0460    2.3132
 2000     3.3790   -0.78156  -0.67573  -0.42440    0.9772    2.2126
 2143     3.1010   -0.77013  -0.64220  -0.40044    0.9220    2.1155
 2286     2.8570   -0.75875  -0.61166  -0.37798    0.8703    2.0359
 2429     2.6420   -0.75152  -0.58177  -0.35737    0.8229    1.9615
 2571     2.4520   -0.74643  -0.55340  -0.33825    0.7788    1.8860
 2714     2.2820   -0.74497  -0.52720  -0.32155    0.7404    1.8217
 2857     2.1330   -0.72861  -0.50300  -0.30028    0.6914    1.7815
 3000     2.0310   -0.72249  -0.48582  -0.28720    0.6613    1.7491
 3777     1.6100   -0.73507  -0.41066  -0.24222    0.5577    1.5944
 4755     1.2210   -0.74827  -0.32997  -0.18956    0.4365    1.4531
 5986     0.8800   -0.79316  -0.25018  -0.14079    0.3242    1.3261
 7536     0.6300   -0.86301  -0.18618  -0.10323    0.2377    1.2341
 9487     0.4300   -0.95226  -0.13110  -0.07004    0.1613    1.1654
11944     0.2720   -1.11307  -0.08501  -0.04610    0.1061    1.0984
15036     0.1660   -1.29815  -0.05284  -0.02883    0.0664    1.0575
18929     0.1110   -1.47822  -0.03567  -0.02027    0.0467    1.0423
23831     0.0750   -1.65821  -0.02420  -0.01422    0.0328    1.0291
30001     0.0330   -2.01569  -0.01069  -0.00642    0.0148    1.0148
 
tau_V = 1.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    14.5125   -1.50386  -1.29739  -1.08744    2.5039    3.4028
 1143    11.1600   -1.31385  -1.18535  -0.94384    2.1733    3.3648
 1286     9.1020   -1.19230  -1.09602  -0.84046    1.9352    3.2303
 1429     7.7505   -1.09712  -1.02195  -0.75688    1.7428    3.1154
 1571     6.8040   -1.02727  -0.96759  -0.69537    1.6012    3.0076
 1714     6.1110   -0.96458  -0.92402  -0.64280    1.4801    2.9307
 1857     5.5500   -0.92467  -0.88113  -0.60133    1.3846    2.8209
 2000     5.0685   -0.89741  -0.84313  -0.56840    1.3088    2.7040
 2143     4.6515   -0.87778  -0.80565  -0.53919    1.2415    2.5802
 2286     4.2855   -0.85808  -0.77209  -0.51193    1.1788    2.4761
 2429     3.9630   -0.84280  -0.74109  -0.48794    1.1235    2.3815
 2571     3.6780   -0.82954  -0.71015  -0.46472    1.0701    2.2821
 2714     3.4230   -0.82191  -0.68109  -0.44479    1.0242    2.2006
 2857     3.1995   -0.79550  -0.65430  -0.41816    0.9628    2.1482
 3000     3.0465   -0.78234  -0.63555  -0.40174    0.9250    2.1024
 3777     2.4150   -0.76805  -0.54813  -0.34329    0.7904    1.8842
 4755     1.8315   -0.74688  -0.45150  -0.27352    0.6298    1.6811
 5986     1.3200   -0.75188  -0.35154  -0.20610    0.4746    1.4908
 7536     0.9450   -0.78970  -0.26646  -0.15260    0.3514    1.3550
 9487     0.6450   -0.84897  -0.19020  -0.10406    0.2396    1.2484
11944     0.4080   -0.98595  -0.12484  -0.06882    0.1585    1.1506
15036     0.2490   -1.15336  -0.07811  -0.04304    0.0991    1.0892
18929     0.1665   -1.32349  -0.05300  -0.03031    0.0698    1.0636
23831     0.1125   -1.49632  -0.03613  -0.02133    0.0491    1.0390
30001     0.0495   -1.84716  -0.01600  -0.00964    0.0222    1.0208
 
tau_V = 2.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    19.3500   -1.62830  -1.41919  -1.21025    2.7867    3.7140
 1143    14.8800   -1.43187  -1.30972  -1.06549    2.4534    3.7106
 1286    12.1360   -1.31296  -1.21919  -0.96252    2.2163    3.6077
 1429    10.3340   -1.21527  -1.14744  -0.87900    2.0240    3.5133
 1571     9.0720   -1.13923  -1.09109  -0.81346    1.8731    3.4054
 1714     8.1480   -1.07248  -1.04368  -0.75681    1.7426    3.3312
 1857     7.4000   -1.03001  -1.00408  -0.71582    1.6482    3.2274
 2000     6.7580   -0.99836  -0.96525  -0.68046    1.5668    3.0971
 2143     6.2020   -0.97695  -0.93046  -0.65206    1.5014    2.9686
 2286     5.7140   -0.95359  -0.89605  -0.62284    1.4341    2.8533
 2429     5.2840   -0.93345  -0.86072  -0.59454    1.3690    2.7381
 2571     4.9040   -0.91691  -0.82907  -0.56975    1.3119    2.6268
 2714     4.5640   -0.90141  -0.79850  -0.54588    1.2569    2.5191
 2857     4.2660   -0.87034  -0.77060  -0.51658    1.1895    2.4657
 3000     4.0620   -0.85365  -0.75174  -0.49868    1.1483    2.4157
 3777     3.2200   -0.82268  -0.65750  -0.43125    0.9930    2.1479
 4755     2.4420   -0.77714  -0.55276  -0.34958    0.8049    1.8978
 5986     1.7600   -0.75352  -0.43865  -0.26712    0.6151    1.6571
 7536     1.2600   -0.76226  -0.33859  -0.19966    0.4597    1.4738
 9487     0.8600   -0.79539  -0.24534  -0.13752    0.3167    1.3339
11944     0.5440   -0.90826  -0.16277  -0.09100    0.2095    1.2010
15036     0.3320   -1.05855  -0.10280  -0.05720    0.1317    1.1205
18929     0.2220   -1.22000  -0.06997  -0.04027    0.0927    1.0845
23831     0.1500   -1.38614  -0.04788  -0.02839    0.0654    1.0567
30001     0.0660   -1.72843  -0.02132  -0.01288    0.0297    1.0268
 
tau_V = 2.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    24.1875   -1.72602  -1.52382  -1.31223    3.0215    3.9657
 1143    18.6000   -1.53180  -1.40548  -1.16303    2.6780    3.9971
 1286    15.1700   -1.40810  -1.31878  -1.06012    2.4410    3.9058
 1429    12.9175   -1.30929  -1.24954  -0.97736    2.2504    3.8325
 1571    11.3400   -1.23000  -1.19028  -0.90866    2.0923    3.7246
 1714    10.1850   -1.16458  -1.14354  -0.85290    1.9639    3.6731
 1857     9.2500   -1.11337  -1.09968  -0.80545    1.8546    3.5431
 2000     8.4475   -1.08257  -1.06186  -0.77106    1.7754    3.4199
 2143     7.7525   -1.05803  -1.02367  -0.73948    1.7027    3.2726
 2286     7.1425   -1.03561  -0.99053  -0.71145    1.6382    3.1576
 2429     6.6050   -1.01304  -0.95644  -0.68279    1.5722    3.0357
 2571     6.1300   -0.99395  -0.92446  -0.65679    1.5123    2.9154
 2714     5.7050   -0.97941  -0.89378  -0.63346    1.4586    2.8068
 2857     5.3325   -0.94338  -0.86462  -0.60119    1.3843    2.7483
 3000     5.0775   -0.92455  -0.84436  -0.58158    1.3391    2.6936
 3777     4.0250   -0.88189  -0.74644  -0.50788    1.1694    2.3865
 4755     3.0525   -0.81889  -0.63685  -0.41737    0.9610    2.0974
 5986     2.2000   -0.77255  -0.51390  -0.32322    0.7442    1.8151
 7536     1.5750   -0.75849  -0.40349  -0.24465    0.5633    1.5939
 9487     1.0750   -0.76526  -0.29669  -0.16960    0.3905    1.4148
11944     0.6800   -0.85777  -0.19932  -0.11311    0.2605    1.2540
15036     0.4150   -0.99197  -0.12676  -0.07123    0.1640    1.1529
18929     0.2775   -1.14429  -0.08663  -0.05017    0.1155    1.1050
23831     0.1875   -1.30391  -0.05946  -0.03540    0.0815    1.0706
30001     0.0825   -1.63862  -0.02656  -0.01608    0.0370    1.0330
 
tau_V = 3.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    29.0250   -1.80414  -1.59475  -1.38592    3.1912    4.1624
 1143    22.3200   -1.60798  -1.48106  -1.23887    2.8526    4.2168
 1286    18.2040   -1.48398  -1.39232  -1.13471    2.6128    4.1388
 1429    15.5010   -1.38299  -1.32163  -1.05020    2.4182    4.0736
 1571    13.6080   -1.30513  -1.26921  -0.98577    2.2698    3.9879
 1714    12.2220   -1.23744  -1.21992  -0.92756    2.1358    3.9398
 1857    11.1000   -1.19206  -1.18170  -0.88582    2.0397    3.8371
 2000    10.1370   -1.15731  -1.14156  -0.84833    1.9534    3.6959
 2143     9.3030   -1.12977  -1.10377  -0.81555    1.8779    3.5403
 2286     8.5710   -1.10368  -1.06752  -0.78419    1.8057    3.4114
 2429     7.9260   -1.08112  -1.03622  -0.75706    1.7432    3.2888
 2571     7.3560   -1.06127  -1.00162  -0.72939    1.6795    3.1610
 2714     6.8460   -1.04389  -0.97127  -0.70504    1.6234    3.0406
 2857     6.3990   -1.00957  -0.94276  -0.67385    1.5516    2.9935
 3000     6.0930   -0.99001  -0.92286  -0.65411    1.5061    2.9404
 3777     4.8300   -0.93897  -0.82378  -0.57654    1.3275    2.6029
 4755     3.6630   -0.86486  -0.70882  -0.47884    1.1026    2.2869
 5986     2.6400   -0.79974  -0.58144  -0.37599    0.8657    1.9672
 7536     1.8900   -0.76764  -0.46174  -0.28727    0.6615    1.7110
 9487     1.2900   -0.75160  -0.34498  -0.20131    0.4635    1.4991
11944     0.8160   -0.82388  -0.23412  -0.13472    0.3102    1.3062
15036     0.4980   -0.94180  -0.15017  -0.08512    0.1960    1.1838
18929     0.3330   -1.08588  -0.10303  -0.06005    0.1383    1.1259
23831     0.2250   -1.23948  -0.07089  -0.04239    0.0976    1.0844
30001     0.0990   -1.56583  -0.03182  -0.01931    0.0445    1.0391
 
tau_V = 3.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    33.8625   -1.87692  -1.66544  -1.45740    3.3558    4.3384
 1143    26.0400   -1.67446  -1.55107  -1.30737    3.0103    4.4110
 1286    21.2380   -1.55199  -1.46626  -1.20598    2.7769    4.3547
 1429    18.0845   -1.44687  -1.38962  -1.11628    2.5703    4.2847
 1571    15.8760   -1.36666  -1.32819  -1.04597    2.4084    4.1914
 1714    14.2590   -1.30128  -1.28628  -0.99268    2.2857    4.1700
 1857    12.9500   -1.25355  -1.24659  -0.94903    2.1852    4.0648
 2000    11.8265   -1.21917  -1.20860  -0.91282    2.1019    3.9283
 2143    10.8535   -1.19480  -1.17425  -0.88337    2.0340    3.7811
 2286     9.9995   -1.16611  -1.13431  -0.84889    1.9546    3.6363
 2429     9.2470   -1.13985  -1.10158  -0.81926    1.8864    3.5021
 2571     8.5820   -1.11949  -1.06833  -0.79213    1.8239    3.3718
 2714     7.9870   -1.10238  -1.03947  -0.76876    1.7701    3.2520
 2857     7.4655   -1.06414  -1.01130  -0.73588    1.6944    3.1996
 3000     7.1085   -1.04569  -0.98647  -0.71404    1.6441    3.1434
 3777     5.6350   -0.99377  -0.89025  -0.63790    1.4688    2.8003
 4755     4.2735   -0.90882  -0.77156  -0.53376    1.2290    2.4584
 5986     3.0800   -0.83172  -0.64055  -0.42467    0.9778    2.1107
 7536     2.2050   -0.78243  -0.51492  -0.32737    0.7538    1.8222
 9487     1.5050   -0.74878  -0.38925  -0.23180    0.5337    1.5829
11944     0.9520   -0.80096  -0.26806  -0.15641    0.3601    1.3593
15036     0.5810   -0.90370  -0.17296  -0.09891    0.2278    1.2158
18929     0.3885   -1.03913  -0.11931  -0.06999    0.1612    1.1472
23831     0.2625   -1.18714  -0.08218  -0.04935    0.1136    1.0983
30001     0.1155   -1.50516  -0.03706  -0.02253    0.0519    1.0446
 
tau_V = 4.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    38.7000   -1.92267  -1.72615  -1.51236    3.4823    4.4670
 1143    29.7600   -1.72885  -1.60941  -1.36401    3.1407    4.5683
 1286    24.2720   -1.60441  -1.52556  -1.26217    2.9062    4.5205
 1429    20.6680   -1.50108  -1.45638  -1.17713    2.7104    4.4740
 1571    18.1440   -1.42430  -1.38919  -1.10536    2.5452    4.3928
 1714    16.2960   -1.35610  -1.34844  -1.05122    2.4205    4.3754
 1857    14.8000   -1.31226  -1.30495  -1.00756    2.3200    4.2789
 2000    13.5160   -1.27721  -1.26215  -0.96859    2.2303    4.1327
 2143    12.4040   -1.24960  -1.23097  -0.93915    2.1625    3.9801
 2286    11.4280   -1.21987  -1.19016  -0.90373    2.0809    3.8303
 2429    10.5680   -1.19714  -1.15799  -0.87609    2.0173    3.7020
 2571     9.8080   -1.17474  -1.12539  -0.84833    1.9534    3.5655
 2714     9.1280   -1.15482  -1.09700  -0.82392    1.8971    3.4368
