tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     1.3095   -1.36702  -0.13476  -0.11004    0.2534    0.4569
 1143     0.9795   -1.22617  -0.11555  -0.08312    0.1914    0.4957
 1286     0.7955   -1.14886  -0.10230  -0.06494    0.1495    0.5186
 1429     0.6950   -1.11495  -0.09381  -0.05429    0.1250    0.5303
 1571     0.6460   -1.10909  -0.08931  -0.04968    0.1144    0.5312
 1714     0.6273   -1.11856  -0.08815  -0.04944    0.1138    0.5308
 1857     0.6403   -1.15235  -0.08868  -0.05270    0.1214    0.5157
 2000     0.7107   -1.22015  -0.09527  -0.06385    0.1470    0.4876
 2143     0.7975   -1.29050  -0.10249  -0.07519    0.1731    0.4629
 2286     0.7275   -1.27324  -0.09689  -0.06888    0.1586    0.4664
 2429     0.6180   -1.23300  -0.08662  -0.05667    0.1305    0.4805
 2571     0.5485   -1.21366  -0.07974  -0.04896    0.1127    0.4892
 2714     0.5055   -1.21002  -0.07558  -0.04483    0.1032    0.4931
 2857     0.4762   -1.21033  -0.07188  -0.04140    0.0953    0.4915
 3000     0.4545   -1.21317  -0.06941  -0.03929    0.0905    0.4934
 3777     0.3817   -1.26126  -0.06071  -0.03417    0.0787    0.4794
 4755     0.2998   -1.32167  -0.04990  -0.02727    0.0628    0.4703
 5986     0.2272   -1.41262  -0.03981  -0.02178    0.0501    0.4571
 7536     0.1667   -1.52714  -0.02999  -0.01638    0.0377    0.4416
 9487     0.1100   -1.65909  -0.02047  -0.01061    0.0244    0.4400
11944     0.0760   -1.82555  -0.01443  -0.00778    0.0179    0.4271
15036     0.0525   -1.98833  -0.01010  -0.00555    0.0128    0.4208
18929     0.0362   -2.14898  -0.00706  -0.00394    0.0091    0.4131
23831     0.0250   -2.32752  -0.00486  -0.00279    0.0064    0.4063
30001     0.0172   -2.50922  -0.00340  -0.00204    0.0047    0.3970
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.6190   -1.48371  -0.17452  -0.15372    0.3539    0.4979
 1143     1.9590   -1.27248  -0.15926  -0.12702    0.2925    0.5569
 1286     1.5910   -1.14414  -0.14730  -0.10562    0.2432    0.5953
 1429     1.3900   -1.07859  -0.13869  -0.09148    0.2106    0.6148
 1571     1.2920   -1.05621  -0.13475  -0.08560    0.1971    0.6203
 1714     1.2545   -1.06482  -0.13224  -0.08426    0.1940    0.6103
 1857     1.2805   -1.10585  -0.13339  -0.08942    0.2059    0.5913
 2000     1.4215   -1.20088  -0.14044  -0.10421    0.2400    0.5486
 2143     1.5950   -1.30265  -0.14734  -0.11799    0.2717    0.5126
 2286     1.4550   -1.26646  -0.14157  -0.11016    0.2537    0.5182
 2429     1.2360   -1.18878  -0.13117  -0.09471    0.2181    0.5395
 2571     1.0970   -1.14582  -0.12310  -0.08373    0.1928    0.5495
 2714     1.0110   -1.12847  -0.11779  -0.07735    0.1781    0.5515
 2857     0.9525   -1.11665  -0.11378  -0.07265    0.1673    0.5515
 3000     0.9090   -1.11108  -0.11088  -0.06950    0.1600    0.5533
 3777     0.7635   -1.13544  -0.09988  -0.06160    0.1418    0.5309
 4755     0.5995   -1.16467  -0.08508  -0.05035    0.1159    0.5135
 5986     0.4545   -1.22919  -0.06952  -0.04045    0.0931    0.4905
 7536     0.3335   -1.31462  -0.05445  -0.03122    0.0719    0.4669
 9487     0.2200   -1.41692  -0.03835  -0.02056    0.0473    0.4580
11944     0.1520   -1.56740  -0.02758  -0.01522    0.0351    0.4393
15036     0.1050   -1.71751  -0.01960  -0.01098    0.0253    0.4294
