tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     1.3095   -1.00147  -0.45211  -0.34413    0.7924    1.5616
 1143     0.9795   -0.85276  -0.36440  -0.24224    0.5578    1.4955
 1286     0.7955   -0.77205  -0.30891  -0.18043    0.4155    1.4486
 1429     0.6950   -0.73684  -0.27635  -0.14720    0.3389    1.4184
 1571     0.6460   -0.73125  -0.25989  -0.13351    0.3074    1.4001
 1714     0.6273   -0.74285  -0.25340  -0.13151    0.3028    1.3849
 1857     0.6403   -0.77548  -0.25773  -0.14260    0.3283    1.3867
 2000     0.7107   -0.84543  -0.28146  -0.17666    0.4068    1.3911
 2143     0.7975   -0.91912  -0.30900  -0.21369    0.4920    1.4070
 2286     0.7275   -0.90075  -0.28668  -0.19215    0.4424    1.3811
 2429     0.6180   -0.85717  -0.25025  -0.15431    0.3553    1.3483
 2571     0.5485   -0.83735  -0.22593  -0.13088    0.3014    1.3258
 2714     0.5055   -0.83521  -0.21029  -0.11786    0.2714    1.3098
 2857     0.4762   -0.83341  -0.19966  -0.10891    0.2508    1.2931
 3000     0.4545   -0.83647  -0.19139  -0.10275    0.2366    1.2810
 3777     0.3817   -0.88634  -0.16354  -0.08824    0.2032    1.2429
 4755     0.2998   -0.94688  -0.13078  -0.06906    0.1590    1.1937
 5986     0.2272   -1.04139  -0.10097  -0.05381    0.1239    1.1455
 7536     0.1667   -1.15376  -0.07521  -0.04040    0.0930    1.1065
 9487     0.1100   -1.28572  -0.05037  -0.02582    0.0595    1.0746
11944     0.0760   -1.45295  -0.03502  -0.01874    0.0432    1.0469
15036     0.0525   -1.61668  -0.02427  -0.01331    0.0306    1.0397
18929     0.0362   -1.77636  -0.01690  -0.00941    0.0217    1.0266
23831     0.0250   -1.95482  -0.01160  -0.00668    0.0154    1.0177
30001     0.0172   -2.13698  -0.00809  -0.00487    0.0112    1.0142
 
tau_V = 0.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000     2.6190   -1.16879  -0.68884  -0.56460    1.3000    2.0085
 1143     1.9590   -0.93319  -0.58540  -0.42434    0.9771    1.9369
