tau_V = 0.250
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
 1714     4.0740   -1.00125  -0.87552  -0.63282    1.4571    3.1149
 1857     3.7000   -0.95807  -0.84206  -0.59517    1.3704    3.0035
 2000     3.3790   -0.92624  -0.80769  -0.56190    1.2938    2.8748
 2143     3.1010   -0.90218  -0.77580  -0.53338    1.2282    2.7384
 2286     2.8570   -0.87849  -0.74640  -0.50641    1.1661    2.6232
 2429     2.6420   -0.86150  -0.71443  -0.48074    1.1070    2.5163
 2571     2.4520   -0.84745  -0.68652  -0.45854    1.0558    2.4138
 2714     2.2820   -0.83651  -0.65962  -0.43809    1.0087    2.3207
 2857     2.1330   -0.80806  -0.63474  -0.41178    0.9482    2.2639
 3000     2.0310   -0.79461  -0.61718  -0.39586    0.9115    2.2164
 3777     1.6100   -0.78139  -0.53034  -0.33694    0.7758    1.9862
 4755     1.2210   -0.76082  -0.43593  -0.26764    0.6163    1.7672
 5986     0.8800   -0.76780  -0.33814  -0.20084    0.4624    1.5604
 7536     0.6300   -0.80585  -0.25725  -0.14911    0.3433    1.4115
 9487     0.4300   -0.86526  -0.18337  -0.10130    0.2332    1.2891
11944     0.2720   -1.00269  -0.12024  -0.06675    0.1537    1.1772
15036     0.1660   -1.17050  -0.07514  -0.04160    0.0958    1.1072
18929     0.1110   -1.34158  -0.05089  -0.02920    0.0672    1.0732
23831     0.0750   -1.51544  -0.03455  -0.02043    0.0470    1.0514
30001     0.0330   -1.86475  -0.01538  -0.00928    0.0214    1.0244
 
tau_V = 1.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    14.5125   -1.67711  -1.26535  -1.12312    2.5861    3.8413
 1143    11.1600   -1.53714  -1.18461  -1.02501    2.3602    3.9844
 1286     9.1020   -1.43474  -1.12666  -0.95291    2.1941    3.9550
 1429     7.7505   -1.33473  -1.08256  -0.88956    2.0483    3.8936
 1571     6.8040   -1.25899  -1.04154  -0.83577    1.9244    3.8159
 1714     6.1110   -1.18564  -1.00893  -0.78733    1.8129    3.7540
 1857     5.5500   -1.13641  -0.98104  -0.75079    1.7288    3.6451
 2000     5.0685   -1.09829  -0.94762  -0.71542    1.6473    3.5042
 2143     4.6515   -1.07039  -0.91969  -0.68751    1.5830    3.3524
 2286     4.2855   -1.03931  -0.89331  -0.65917    1.5178    3.2176
 2429     3.9630   -1.01300  -0.86663  -0.63265    1.4567    3.0835
 2571     3.6780   -0.99270  -0.83603  -0.60630    1.3961    2.9595
 2714     3.4230   -0.97426  -0.81316  -0.58525    1.3476    2.8441
 2857     3.1995   -0.93694  -0.78800  -0.55509    1.2781    2.7820
 3000     3.0465   -0.91557  -0.76692  -0.53388    1.2293    2.7164
 3777     2.4150   -0.87236  -0.68179  -0.46567    1.0722    2.4087
 4755     1.8315   -0.81325  -0.57790  -0.37879    0.8722    2.1157
 5986     1.3200   -0.77565  -0.46241  -0.29035    0.6685    1.8313
 7536     0.9450   -0.77530  -0.35802  -0.21733    0.5004    1.6109
 9487     0.6450   -0.79432  -0.26210  -0.15030    0.3461    1.4338
11944     0.4080   -0.89635  -0.17476  -0.09927    0.2286    1.2687
15036     0.2490   -1.03951  -0.11068  -0.06232    0.1435    1.1615
18929     0.1665   -1.19767  -0.07526  -0.04367    0.1006    1.1101
23831     0.1125   -1.36111  -0.05143  -0.03065    0.0706    1.0753
30001     0.0495   -1.69905  -0.02290  -0.01385    0.0319    1.0352
 
tau_V = 2.000
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    19.3500   -1.72898  -1.36419  -1.20833    2.7823    4.0217
 1143    14.8800   -1.61619  -1.27584  -1.11247    2.5615    4.2438
 1286    12.1360   -1.53050  -1.20916  -1.03973    2.3941    4.2589
 1429    10.3340   -1.45170  -1.16690  -0.98533    2.2688    4.2770
 1571     9.0720   -1.37918  -1.12352  -0.93178    2.1455    4.2110
 1714     8.1480   -1.31338  -1.09578  -0.89006    2.0494    4.1929
 1857     7.4000   -1.26512  -1.06623  -0.85336    1.9649    4.0907
 2000     6.7580   -1.22850  -1.03858  -0.82221    1.8932    3.9518
 2143     6.2020   -1.20033  -1.01182  -0.79489    1.8303    3.7993
 2286     5.7140   -1.17053  -0.98642  -0.76776    1.7678    3.6643
 2429     5.2840   -1.14313  -0.96530  -0.74415    1.7135    3.5332
 2571     4.9040   -1.11643  -0.93687  -0.71641    1.6496    3.3892
 2714     4.5640   -1.09445  -0.91769  -0.69611    1.6028    3.2621
 2857     4.2660   -1.05414  -0.89282  -0.66500    1.5312    3.2039
 3000     4.0620   -1.03112  -0.87251  -0.64358    1.4819    3.1378
 3777     3.2200   -0.97217  -0.79045  -0.57084    1.3144    2.7801
 4755     2.4420   -0.88645  -0.68453  -0.47283    1.0887    2.4307
 5986     1.7600   -0.81728  -0.56191  -0.37006    0.8521    2.0827
 7536     1.2600   -0.78307  -0.44736  -0.28252    0.6505    1.8044
 9487     0.8600   -0.76954  -0.33223  -0.19699    0.4536    1.5738
11944     0.5440   -0.84116  -0.22586  -0.13156    0.3029    1.3576
15036     0.3320   -0.95939  -0.14453  -0.08264    0.1903    1.2169
18929     0.2220   -1.10290  -0.09927  -0.05821    0.1340    1.1465
23831     0.1500   -1.25848  -0.06798  -0.04084    0.0940    1.1002
30001     0.0660   -1.58477  -0.03053  -0.01857    0.0428    1.0438
 
tau_V = 2.500
 wave,       tau,      scat,    stell,    total,  tau_eff,  eff. mult.
  [A],          ,           in log units       ,
 1000    24.1875   -1.76927  -1.45184  -1.28115    2.9500    4.1780
 1143    18.6000   -1.65453  -1.34537  -1.17197    2.6986    4.3953
 1286    15.1700   -1.58831  -1.28228  -1.10785    2.5509    4.4703
 1429    12.9175   -1.51462  -1.22800  -1.04705    2.4109    4.4893
 1571    11.3400   -1.45468  -1.18771  -0.99997    2.3025    4.4703
 1714    10.1850   -1.39838  -1.16111  -0.96271    2.2167    4.4922
 1857     9.2500   -1.35529  -1.13107  -0.92784    2.1364    4.4052
 2000     8.4475   -1.32395  -1.10419  -0.89928    2.0707    4.2851
 2143     7.7525   -1.29973  -1.07843  -0.87411    2.0127    4.1398
 2286     7.1425   -1.27120  -1.05716  -0.85009    1.9574    4.0111
 2429     6.6050   -1.24673  -1.03314  -0.82591    1.9017    3.8785
 2571     6.1300   -1.22160  -1.01188  -0.80317    1.8494    3.7402
 2714     5.7050   -1.19787  -0.99011  -0.78065    1.7975    3.5988
 2857     5.3325   -1.15662  -0.96676  -0.75036    1.7278    3.5474
 3000     5.0775   -1.13010  -0.95255  -0.73129    1.6838    3.4868
 3777     4.0250   -1.06251  -0.87212  -0.65593    1.5103    3.0901
 4755     3.0525   -0.96391  -0.76945  -0.55486    1.2776    2.7169
 5986     2.2000   -0.86883  -0.64493  -0.44158    1.0168    2.3147
